venue_name,date,time
Busch Stadium,2017-04-03,00:35:00
Nationals Park,2017-04-03,17:05:00
Citi Field,2017-04-03,17:10:00
Fenway Park,2017-04-03,18:05:00
Miller Park,2017-04-03,18:10:00
Oriole Park at Camden Yards,2017-04-03,19:05:00
Dodger Stadium,2017-04-03,20:10:00
Target Field,2017-04-03,20:10:00
Great American Ball Park,2017-04-03,20:10:00
Globe Life Park in Arlington,2017-04-03,23:05:00
Oakland Coliseum,2017-04-04,02:05:00
Guaranteed Rate Field,2017-04-03,20:10:00
Guaranteed Rate Field,2017-04-04,18:10:00
Miller Park,2017-04-04,23:40:00
Globe Life Park in Arlington,2017-04-05,00:05:00
Busch Stadium,2017-04-05,00:15:00
Oakland Coliseum,2017-04-05,02:05:00
Dodger Stadium,2017-04-05,02:10:00
Target Field,2017-04-05,17:10:00
Oriole Park at Camden Yards,2017-04-05,23:05:00
Nationals Park,2017-04-05,23:05:00
Fenway Park,2017-04-05,23:10:00
Great American Ball Park,2017-04-05,23:10:00
Citi Field,2017-04-05,23:10:00
Globe Life Park in Arlington,2017-04-06,00:05:00
Miller Park,2017-04-06,00:10:00
Oakland Coliseum,2017-04-06,02:05:00
Dodger Stadium,2017-04-06,02:10:00
Busch Stadium,2017-04-05,17:45:00
Guaranteed Rate Field,2017-04-05,18:10:00
Great American Ball Park,2017-04-06,16:35:00
Target Field,2017-04-06,17:10:00
Miller Park,2017-04-06,17:40:00
Busch Stadium,2017-04-06,17:45:00
Guaranteed Rate Field,2017-04-06,18:10:00
Dodger Stadium,2017-04-06,19:10:00
Oakland Coliseum,2017-04-06,19:35:00
Nationals Park,2017-04-06,20:05:00
Citi Field,2017-04-06,23:10:00
Fenway Park,2017-04-06,17:35:00
PNC Park,2017-04-07,17:05:00
Comerica Park,2017-04-07,17:10:00
Citizens Bank Park,2017-04-07,19:05:00
Coors Field,2017-04-07,20:10:00
Petco Park,2017-04-07,22:40:00
Oriole Park at Camden Yards,2017-04-07,23:05:00
Citi Field,2017-04-07,23:10:00
Globe Life Park in Arlington,2017-04-08,00:05:00
Guaranteed Rate Field,2017-04-08,00:10:00
Miller Park,2017-04-08,00:10:00
Busch Stadium,2017-04-08,00:15:00
Angel Stadium of Anaheim,2017-04-08,02:07:00
Comerica Park,2017-04-08,17:10:00
Guaranteed Rate Field,2017-04-08,18:10:00
Busch Stadium,2017-04-08,18:15:00
Oriole Park at Camden Yards,2017-04-08,20:05:00
Citizens Bank Park,2017-04-08,23:05:00
PNC Park,2017-04-08,23:05:00
Citi Field,2017-04-08,23:10:00
Miller Park,2017-04-08,23:10:00
Globe Life Park in Arlington,2017-04-09,00:05:00
Coors Field,2017-04-09,00:10:00
Petco Park,2017-04-09,00:40:00
Angel Stadium of Anaheim,2017-04-09,02:07:00
Comerica Park,2017-04-09,17:10:00
Citizens Bank Park,2017-04-09,17:35:00
PNC Park,2017-04-09,17:35:00
Oriole Park at Camden Yards,2017-04-09,17:35:00
Guaranteed Rate Field,2017-04-09,18:10:00
Miller Park,2017-04-09,18:10:00
Busch Stadium,2017-04-09,18:15:00
Globe Life Park in Arlington,2017-04-09,19:05:00
Coors Field,2017-04-09,19:10:00
Angel Stadium of Anaheim,2017-04-09,19:37:00
Petco Park,2017-04-09,20:40:00
Citi Field,2017-04-10,00:00:00
Yankee Stadium,2017-04-10,17:05:00
Comerica Park,2017-04-10,17:10:00
Kauffman Stadium,2017-04-10,20:15:00
AT&T Park,2017-04-10,20:35:00
Safeco Field,2017-04-10,21:10:00
PNC Park,2017-04-10,23:05:00
Nationals Park,2017-04-10,23:05:00
Citizens Bank Park,2017-04-10,23:05:00
Wrigley Field,2017-04-11,00:05:00
Coors Field,2017-04-11,00:40:00
Comerica Park,2017-04-11,17:10:00
Progressive Field,2017-04-11,20:10:00
PNC Park,2017-04-11,23:05:00
Nationals Park,2017-04-11,23:05:00
Citizens Bank Park,2017-04-11,23:05:00
Fenway Park,2017-04-11,23:10:00
Marlins Park,2017-04-11,23:10:00
Coors Field,2017-04-12,00:40:00
Angel Stadium of Anaheim,2017-04-12,02:07:00
Safeco Field,2017-04-12,02:10:00
AT&T Park,2017-04-12,02:15:00
Yankee Stadium,2017-04-12,17:05:00
Comerica Park,2017-04-12,17:10:00
Coors Field,2017-04-12,19:10:00
Nationals Park,2017-04-12,20:05:00
Progressive Field,2017-04-12,22:10:00
PNC Park,2017-04-12,23:05:00
Citizens Bank Park,2017-04-12,23:05:00
Fenway Park,2017-04-12,23:10:00
Marlins Park,2017-04-12,23:10:00
Wrigley Field,2017-04-13,00:05:00
Kauffman Stadium,2017-04-13,00:15:00
Angel Stadium of Anaheim,2017-04-13,02:07:00
Safeco Field,2017-04-13,02:10:00
AT&T Park,2017-04-13,02:15:00
Comerica Park,2017-04-13,17:10:00
Fenway Park,2017-04-13,18:05:00
Wrigley Field,2017-04-13,18:20:00
Angel Stadium of Anaheim,2017-04-13,19:37:00
Progressive Field,2017-04-13,22:10:00
Yankee Stadium,2017-04-13,23:05:00
Marlins Park,2017-04-13,23:10:00
Great American Ball Park,2017-04-13,23:10:00
Kauffman Stadium,2017-04-14,00:15:00
AT&T Park,2017-04-14,02:15:00
Wrigley Field,2017-04-14,18:20:00
Nationals Park,2017-04-14,20:05:00
Yankee Stadium,2017-04-14,23:05:00
Progressive Field,2017-04-14,23:10:00
Fenway Park,2017-04-14,23:10:00
Marlins Park,2017-04-14,23:10:00
Great American Ball Park,2017-04-14,23:10:00
SunTrust Park,2017-04-14,23:35:00
Target Field,2017-04-15,00:10:00
Kauffman Stadium,2017-04-15,00:15:00
Oakland Coliseum,2017-04-15,02:05:00
Dodger Stadium,2017-04-15,02:10:00
Safeco Field,2017-04-15,02:10:00
AT&T Park,2017-04-15,02:15:00
Nationals Park,2017-04-15,17:05:00
Yankee Stadium,2017-04-15,17:05:00
Great American Ball Park,2017-04-15,17:10:00
Target Field,2017-04-15,18:10:00
Wrigley Field,2017-04-15,18:20:00
Oakland Coliseum,2017-04-15,20:05:00
AT&T Park,2017-04-15,20:05:00
Fenway Park,2017-04-15,20:05:00
Progressive Field,2017-04-15,20:10:00
SunTrust Park,2017-04-15,23:10:00
Marlins Park,2017-04-15,23:10:00
Kauffman Stadium,2017-04-15,23:15:00
Dodger Stadium,2017-04-16,01:10:00
Safeco Field,2017-04-16,01:10:00
Progressive Field,2017-04-16,17:10:00
Marlins Park,2017-04-16,17:10:00
Great American Ball Park,2017-04-16,17:10:00
Fenway Park,2017-04-16,17:35:00
Nationals Park,2017-04-16,17:35:00
SunTrust Park,2017-04-16,17:35:00
Kauffman Stadium,2017-04-16,18:15:00
Wrigley Field,2017-04-16,18:20:00
AT&T Park,2017-04-16,20:05:00
Dodger Stadium,2017-04-16,20:10:00
Safeco Field,2017-04-16,20:10:00
Target Field,2017-04-16,20:10:00
Yankee Stadium,2017-04-17,00:05:00
Oakland Coliseum,2017-04-16,20:05:00
Fenway Park,2017-04-17,15:05:00
Busch Stadium,2017-04-17,23:05:00
Yankee Stadium,2017-04-17,23:05:00
SunTrust Park,2017-04-17,23:35:00
Wrigley Field,2017-04-18,00:05:00
Target Field,2017-04-18,00:10:00
Oakland Coliseum,2017-04-18,02:05:00
Dodger Stadium,2017-04-18,02:10:00
Safeco Field,2017-04-18,02:10:00
Yankee Stadium,2017-04-18,23:05:00
Great American Ball Park,2017-04-18,23:10:00
Citi Field,2017-04-18,23:10:00
SunTrust Park,2017-04-18,23:35:00
Wrigley Field,2017-04-19,00:05:00
Target Field,2017-04-19,00:10:00
Kauffman Stadium,2017-04-19,00:15:00
Busch Stadium,2017-04-19,00:15:00
Oakland Coliseum,2017-04-19,02:05:00
Dodger Stadium,2017-04-19,02:10:00
Petco Park,2017-04-19,02:10:00
Safeco Field,2017-04-19,02:10:00
Busch Stadium,2017-04-19,17:45:00
Wrigley Field,2017-04-19,18:20:00
Oakland Coliseum,2017-04-19,19:35:00
Safeco Field,2017-04-19,19:40:00
Yankee Stadium,2017-04-19,23:05:00
Great American Ball Park,2017-04-19,23:10:00
Citi Field,2017-04-19,23:10:00
SunTrust Park,2017-04-19,23:35:00
Kauffman Stadium,2017-04-20,00:15:00
Dodger Stadium,2017-04-20,02:10:00
Petco Park,2017-04-20,02:10:00
Target Field,2017-04-20,00:10:00
Target Field,2017-04-20,17:10:00
Great American Ball Park,2017-04-20,23:10:00
Citi Field,2017-04-20,23:10:00
SunTrust Park,2017-04-20,23:35:00
Globe Life Park in Arlington,2017-04-21,00:05:00
Miller Park,2017-04-21,00:10:00
Petco Park,2017-04-21,01:10:00
Oakland Coliseum,2017-04-21,02:05:00
Oriole Park at Camden Yards,2017-04-21,23:05:00
Citizens Bank Park,2017-04-21,23:05:00
PNC Park,2017-04-21,23:05:00
Great American Ball Park,2017-04-21,23:10:00
Citi Field,2017-04-21,23:10:00
Globe Life Park in Arlington,2017-04-22,00:05:00
Target Field,2017-04-22,00:10:00
Guaranteed Rate Field,2017-04-22,00:10:00
Miller Park,2017-04-22,00:10:00
Coors Field,2017-04-22,00:40:00
