venue_name,date,time
SunTrust Park,2017-04-14,23:35:00
SunTrust Park,2017-04-15,23:10:00
SunTrust Park,2017-04-16,17:35:00
SunTrust Park,2017-04-17,23:35:00
SunTrust Park,2017-04-18,23:35:00
SunTrust Park,2017-04-19,23:35:00
SunTrust Park,2017-04-20,23:35:00
SunTrust Park,2017-05-01,23:35:00
SunTrust Park,2017-05-02,23:35:00
SunTrust Park,2017-05-03,23:35:00
SunTrust Park,2017-05-04,23:35:00
SunTrust Park,2017-05-05,23:35:00
SunTrust Park,2017-05-06,23:10:00
SunTrust Park,2017-05-07,17:35:00
SunTrust Park,2017-05-17,23:35:00
SunTrust Park,2017-05-18,23:35:00
SunTrust Park,2017-05-19,23:35:00
SunTrust Park,2017-05-20,20:10:00
SunTrust Park,2017-05-21,17:35:00
SunTrust Park,2017-05-22,23:35:00
SunTrust Park,2017-05-23,23:35:00
SunTrust Park,2017-05-24,23:35:00
SunTrust Park,2017-05-25,16:10:00
SunTrust Park,2017-06-05,23:35:00
SunTrust Park,2017-06-06,23:35:00
SunTrust Park,2017-06-07,23:35:00
SunTrust Park,2017-06-08,23:35:00
SunTrust Park,2017-06-09,23:35:00
SunTrust Park,2017-06-10,17:00:00
SunTrust Park,2017-06-10,22:00:00
SunTrust Park,2017-06-11,17:35:00
SunTrust Park,2017-06-16,23:35:00
SunTrust Park,2017-06-17,20:10:00
SunTrust Park,2017-06-18,17:35:00
SunTrust Park,2017-06-19,23:35:00
SunTrust Park,2017-06-20,23:35:00
SunTrust Park,2017-06-21,23:35:00
SunTrust Park,2017-06-22,23:35:00
SunTrust Park,2017-06-23,23:35:00
SunTrust Park,2017-06-24,20:10:00
SunTrust Park,2017-06-25,17:35:00
SunTrust Park,2017-07-04,23:35:00
SunTrust Park,2017-07-05,23:35:00
SunTrust Park,2017-07-14,23:35:00
SunTrust Park,2017-07-15,23:10:00
SunTrust Park,2017-07-16,17:35:00
SunTrust Park,2017-07-17,23:35:00
SunTrust Park,2017-07-18,23:35:00
SunTrust Park,2017-07-19,16:10:00
SunTrust Park,2017-08-01,23:35:00
SunTrust Park,2017-08-02,23:35:00
SunTrust Park,2017-08-03,23:35:00
SunTrust Park,2017-08-04,23:35:00
SunTrust Park,2017-08-05,23:10:00
SunTrust Park,2017-08-06,17:35:00
SunTrust Park,2017-08-08,23:35:00
SunTrust Park,2017-08-09,23:35:00
SunTrust Park,2017-08-18,23:35:00
SunTrust Park,2017-08-19,23:10:00
SunTrust Park,2017-08-20,17:35:00
SunTrust Park,2017-08-21,23:35:00
SunTrust Park,2017-08-22,23:35:00
SunTrust Park,2017-08-23,23:35:00
SunTrust Park,2017-08-25,23:35:00
SunTrust Park,2017-08-26,23:10:00
SunTrust Park,2017-08-27,17:35:00
SunTrust Park,2017-09-04,23:35:00
SunTrust Park,2017-09-05,23:35:00
SunTrust Park,2017-09-06,17:35:00
SunTrust Park,2017-09-06,23:35:00
SunTrust Park,2017-09-07,23:35:00
SunTrust Park,2017-09-08,23:35:00
SunTrust Park,2017-09-09,23:10:00
SunTrust Park,2017-09-10,17:35:00
SunTrust Park,2017-09-15,23:35:00
SunTrust Park,2017-09-16,23:10:00
SunTrust Park,2017-09-17,17:35:00
SunTrust Park,2017-09-19,23:35:00
SunTrust Park,2017-09-20,23:35:00
SunTrust Park,2017-09-21,23:35:00
SunTrust Park,2017-09-22,23:35:00
SunTrust Park,2017-09-23,23:10:00
SunTrust Park,2017-09-24,17:35:00
SunTrust Park,2018-03-29,20:10:00
SunTrust Park,2018-03-30,23:35:00
SunTrust Park,2018-03-31,23:10:00
SunTrust Park,2018-04-02,23:35:00
SunTrust Park,2018-04-03,23:35:00
SunTrust Park,2018-04-04,16:10:00
SunTrust Park,2018-04-16,23:35:00
SunTrust Park,2018-04-17,23:35:00
SunTrust Park,2018-04-18,23:35:00
SunTrust Park,2018-04-19,23:35:00
SunTrust Park,2018-04-20,23:35:00
SunTrust Park,2018-04-21,23:10:00
SunTrust Park,2018-04-22,17:35:00
SunTrust Park,2018-05-04,23:35:00
SunTrust Park,2018-05-05,23:10:00
SunTrust Park,2018-05-06,17:35:00
SunTrust Park,2018-05-15,23:35:00
SunTrust Park,2018-05-16,23:35:00
SunTrust Park,2018-05-17,23:35:00
SunTrust Park,2018-05-18,23:35:00
SunTrust Park,2018-05-19,23:10:00
SunTrust Park,2018-05-20,17:35:00
SunTrust Park,2018-05-28,17:10:00
SunTrust Park,2018-05-28,23:10:00
SunTrust Park,2018-05-29,23:35:00
SunTrust Park,2018-05-30,23:35:00
SunTrust Park,2018-05-31,23:35:00
SunTrust Park,2018-06-01,23:35:00
SunTrust Park,2018-06-02,20:10:00
SunTrust Park,2018-06-03,17:35:00
SunTrust Park,2018-06-12,23:35:00
SunTrust Park,2018-06-13,16:10:00
