venue_name,date,time
Oriole Park at Camden Yards,2017-04-03,19:05:00
Oriole Park at Camden Yards,2017-04-05,23:05:00
Oriole Park at Camden Yards,2017-04-07,23:05:00
Oriole Park at Camden Yards,2017-04-08,20:05:00
Oriole Park at Camden Yards,2017-04-09,17:35:00
Oriole Park at Camden Yards,2017-04-21,23:05:00
Oriole Park at Camden Yards,2017-04-22,23:05:00
Oriole Park at Camden Yards,2017-04-23,17:35:00
Oriole Park at Camden Yards,2017-04-24,23:05:00
Oriole Park at Camden Yards,2017-04-25,23:05:00
Oriole Park at Camden Yards,2017-04-26,23:05:00
Oriole Park at Camden Yards,2017-05-05,23:05:00
Oriole Park at Camden Yards,2017-05-06,23:05:00
Oriole Park at Camden Yards,2017-05-07,17:35:00
Oriole Park at Camden Yards,2017-05-08,23:05:00
Oriole Park at Camden Yards,2017-05-09,23:05:00
Oriole Park at Camden Yards,2017-05-19,23:05:00
Oriole Park at Camden Yards,2017-05-20,23:35:00
Oriole Park at Camden Yards,2017-05-21,17:35:00
Oriole Park at Camden Yards,2017-05-22,23:05:00
Oriole Park at Camden Yards,2017-05-23,23:05:00
Oriole Park at Camden Yards,2017-05-24,16:35:00
Oriole Park at Camden Yards,2017-05-29,17:05:00
Oriole Park at Camden Yards,2017-05-30,23:05:00
Oriole Park at Camden Yards,2017-05-31,23:05:00
Oriole Park at Camden Yards,2017-06-01,23:05:00
Oriole Park at Camden Yards,2017-06-02,23:05:00
Oriole Park at Camden Yards,2017-06-03,23:15:00
Oriole Park at Camden Yards,2017-06-04,17:35:00
Oriole Park at Camden Yards,2017-06-06,23:05:00
Oriole Park at Camden Yards,2017-06-07,23:05:00
Oriole Park at Camden Yards,2017-06-16,23:05:00
Oriole Park at Camden Yards,2017-06-17,20:05:00
Oriole Park at Camden Yards,2017-06-18,17:35:00
Oriole Park at Camden Yards,2017-06-19,23:05:00
Oriole Park at Camden Yards,2017-06-20,23:05:00
Oriole Park at Camden Yards,2017-06-21,23:05:00
Oriole Park at Camden Yards,2017-06-22,23:05:00
Oriole Park at Camden Yards,2017-06-30,23:05:00
Oriole Park at Camden Yards,2017-07-01,20:05:00
Oriole Park at Camden Yards,2017-07-02,17:35:00
Oriole Park at Camden Yards,2017-07-14,23:05:00
Oriole Park at Camden Yards,2017-07-15,23:05:00
Oriole Park at Camden Yards,2017-07-16,17:35:00
Oriole Park at Camden Yards,2017-07-17,23:05:00
Oriole Park at Camden Yards,2017-07-18,23:05:00
Oriole Park at Camden Yards,2017-07-19,23:05:00
Oriole Park at Camden Yards,2017-07-20,23:05:00
Oriole Park at Camden Yards,2017-07-21,23:05:00
Oriole Park at Camden Yards,2017-07-22,23:05:00
Oriole Park at Camden Yards,2017-07-23,17:35:00
Oriole Park at Camden Yards,2017-07-31,23:05:00
Oriole Park at Camden Yards,2017-08-01,23:05:00
Oriole Park at Camden Yards,2017-08-02,23:05:00
Oriole Park at Camden Yards,2017-08-03,23:05:00
Oriole Park at Camden Yards,2017-08-04,23:05:00
Oriole Park at Camden Yards,2017-08-05,23:05:00
Oriole Park at Camden Yards,2017-08-06,17:35:00
Oriole Park at Camden Yards,2017-08-18,23:05:00
Oriole Park at Camden Yards,2017-08-19,23:05:00
Oriole Park at Camden Yards,2017-08-20,17:35:00
Oriole Park at Camden Yards,2017-08-21,23:05:00
Oriole Park at Camden Yards,2017-08-22,23:05:00
Oriole Park at Camden Yards,2017-08-23,19:05:00
Oriole Park at Camden Yards,2017-08-28,23:05:00
Oriole Park at Camden Yards,2017-08-29,23:05:00
Oriole Park at Camden Yards,2017-08-30,19:05:00
Oriole Park at Camden Yards,2017-08-31,23:05:00
Oriole Park at Camden Yards,2017-09-01,23:05:00
Oriole Park at Camden Yards,2017-09-02,23:05:00
