venue_name,date,time
Fenway Park,2017-04-03,18:05:00
Fenway Park,2017-04-05,23:10:00
Fenway Park,2017-04-06,17:35:00
Fenway Park,2017-04-11,23:10:00
Fenway Park,2017-04-12,23:10:00
Fenway Park,2017-04-13,18:05:00
Fenway Park,2017-04-14,23:10:00
Fenway Park,2017-04-15,20:05:00
Fenway Park,2017-04-16,17:35:00
Fenway Park,2017-04-17,15:05:00
Fenway Park,2017-04-25,23:10:00
Fenway Park,2017-04-26,23:10:00
Fenway Park,2017-04-27,23:10:00
Fenway Park,2017-04-28,23:10:00
Fenway Park,2017-04-29,20:05:00
Fenway Park,2017-05-01,00:05:00
Fenway Park,2017-05-01,23:10:00
Fenway Park,2017-05-02,23:10:00
Fenway Park,2017-05-03,23:10:00
Fenway Park,2017-05-04,23:10:00
Fenway Park,2017-05-12,23:10:00
Fenway Park,2017-05-13,17:05:00
Fenway Park,2017-05-14,17:35:00
Fenway Park,2017-05-23,23:10:00
Fenway Park,2017-05-24,23:10:00
Fenway Park,2017-05-25,23:10:00
Fenway Park,2017-05-26,23:10:00
Fenway Park,2017-05-27,20:05:00
Fenway Park,2017-05-28,17:35:00
Fenway Park,2017-06-09,23:10:00
Fenway Park,2017-06-10,23:15:00
Fenway Park,2017-06-12,00:05:00
Fenway Park,2017-06-12,23:10:00
Fenway Park,2017-06-13,23:10:00
Fenway Park,2017-06-23,23:10:00
Fenway Park,2017-06-24,23:15:00
Fenway Park,2017-06-25,17:35:00
Fenway Park,2017-06-26,23:10:00
Fenway Park,2017-06-27,23:10:00
Fenway Park,2017-06-28,23:10:00
Fenway Park,2017-06-29,23:10:00
Fenway Park,2017-07-14,23:10:00
Fenway Park,2017-07-15,20:05:00
Fenway Park,2017-07-16,17:05:00
Fenway Park,2017-07-17,00:05:00
Fenway Park,2017-07-17,23:10:00
Fenway Park,2017-07-18,23:10:00
Fenway Park,2017-07-19,23:10:00
Fenway Park,2017-07-20,17:35:00
Fenway Park,2017-07-28,23:10:00
Fenway Park,2017-07-29,23:10:00
Fenway Park,2017-07-30,17:35:00
Fenway Park,2017-07-31,23:10:00
Fenway Park,2017-08-01,23:10:00
Fenway Park,2017-08-02,23:10:00
Fenway Park,2017-08-03,23:10:00
Fenway Park,2017-08-04,23:10:00
Fenway Park,2017-08-05,23:10:00
Fenway Park,2017-08-06,17:35:00
Fenway Park,2017-08-14,22:10:00
Fenway Park,2017-08-15,23:10:00
Fenway Park,2017-08-16,23:10:00
Fenway Park,2017-08-18,23:10:00
Fenway Park,2017-08-19,23:10:00
Fenway Park,2017-08-20,17:30:00
Fenway Park,2017-08-25,23:10:00
Fenway Park,2017-08-26,20:05:00
Fenway Park,2017-08-27,17:35:00
Fenway Park,2017-09-04,23:10:00
Fenway Park,2017-09-05,23:10:00
Fenway Park,2017-09-06,23:10:00
Fenway Park,2017-09-08,23:10:00
Fenway Park,2017-09-09,23:10:00
Fenway Park,2017-09-10,17:35:00
Fenway Park,2017-09-12,23:10:00
Fenway Park,2017-09-13,23:10:00
Fenway Park,2017-09-14,17:35:00
Fenway Park,2017-09-25,23:10:00
Fenway Park,2017-09-26,23:10:00
Fenway Park,2017-09-27,23:10:00
Fenway Park,2017-09-28,23:10:00
Fenway Park,2017-09-29,23:10:00
Fenway Park,2017-09-30,17:05:00
Fenway Park,2017-10-01,19:05:00
Fenway Park,2017-10-08,18:30:00
Fenway Park,2017-10-09,17:00:00
Fenway Park,2018-04-05,18:05:00
Fenway Park,2018-04-07,17:05:00
Fenway Park,2018-04-08,17:05:00
Fenway Park,2018-04-10,23:10:00
Fenway Park,2018-04-11,23:10:00
Fenway Park,2018-04-12,23:10:00
Fenway Park,2018-04-13,23:10:00
Fenway Park,2018-04-14,17:05:00
Fenway Park,2018-04-15,17:05:00
Fenway Park,2018-04-16,15:05:00
Fenway Park,2018-04-27,23:10:00
Fenway Park,2018-04-28,20:05:00
Fenway Park,2018-04-29,17:05:00
Fenway Park,2018-04-30,23:10:00
Fenway Park,2018-05-01,23:10:00
Fenway Park,2018-05-02,17:05:00
Fenway Park,2018-05-14,23:10:00
Fenway Park,2018-05-15,23:10:00
Fenway Park,2018-05-16,23:10:00
Fenway Park,2018-05-17,23:10:00
Fenway Park,2018-05-18,23:10:00
Fenway Park,2018-05-19,23:10:00
Fenway Park,2018-05-20,17:05:00
Fenway Park,2018-05-25,23:10:00
Fenway Park,2018-05-26,17:05:00
Fenway Park,2018-05-27,17:05:00
Fenway Park,2018-05-28,17:05:00
Fenway Park,2018-05-29,23:10:00
Fenway Park,2018-05-30,17:05:00
Fenway Park,2018-06-05,23:10:00
Fenway Park,2018-06-06,23:10:00
Fenway Park,2018-06-07,23:10:00
Fenway Park,2018-06-08,23:10:00
Fenway Park,2018-06-09,20:05:00
Fenway Park,2018-06-10,17:05:00
Fenway Park,2018-06-22,23:10:00
Fenway Park,2018-06-23,23:15:00
Fenway Park,2018-06-24,17:05:00
Fenway Park,2018-06-26,23:10:00
Fenway Park,2018-06-27,23:10:00
Fenway Park,2018-06-28,23:10:00
Fenway Park,2018-07-09,23:10:00
Fenway Park,2018-07-10,23:10:00
Fenway Park,2018-07-11,23:10:00
Fenway Park,2018-07-12,23:10:00
Fenway Park,2018-07-13,23:10:00
Fenway Park,2018-07-14,17:05:00
Fenway Park,2018-07-15,17:05:00
Fenway Park,2018-07-26,23:10:00
Fenway Park,2018-07-27,23:10:00
Fenway Park,2018-07-28,23:10:00
Fenway Park,2018-07-29,17:05:00
Fenway Park,2018-07-30,23:10:00
Fenway Park,2018-07-31,23:10:00
Fenway Park,2018-08-02,23:10:00
Fenway Park,2018-08-03,23:10:00
Fenway Park,2018-08-04,20:05:00
Fenway Park,2018-08-06,00:05:00
Fenway Park,2018-08-17,23:10:00
Fenway Park,2018-08-18,23:10:00
Fenway Park,2018-08-19,17:05:00
Fenway Park,2018-08-20,23:10:00
Fenway Park,2018-08-21,23:10:00
Fenway Park,2018-08-22,23:10:00
Fenway Park,2018-08-23,17:05:00
Fenway Park,2018-08-28,23:10:00
Fenway Park,2018-08-29,22:35:00
Fenway Park,2018-09-07,23:10:00
Fenway Park,2018-09-08,20:05:00
Fenway Park,2018-09-10,00:05:00
Fenway Park,2018-09-11,23:10:00
Fenway Park,2018-09-12,23:10:00
Fenway Park,2018-09-13,23:10:00
Fenway Park,2018-09-14,23:10:00
Fenway Park,2018-09-15,20:05:00
Fenway Park,2018-09-16,17:05:00
Fenway Park,2018-09-24,23:10:00
Fenway Park,2018-09-25,23:10:00
Fenway Park,2018-09-26,17:05:00
Fenway Park,2018-09-26,23:10:00
Fenway Park,2018-09-28,23:10:00
Fenway Park,2018-09-29,17:05:00
Fenway Park,2018-09-30,19:05:00
Fenway Park,2018-10-05,23:32:00
Fenway Park,2018-10-07,00:15:00
Fenway Park,2018-10-14,00:09:00
Fenway Park,2018-10-14,23:09:00
Fenway Park,2018-10-24,00:09:00
Fenway Park,2018-10-25,00:09:00
Fenway Park,2019-04-09,18:05:00
Fenway Park,2019-04-11,23:10:00
Fenway Park,2019-04-12,23:10:00
Fenway Park,2019-04-13,17:05:00
Fenway Park,2019-04-14,17:05:00
Fenway Park,2019-04-15,15:05:00
Fenway Park,2019-04-22,23:10:00
Fenway Park,2019-04-23,17:10:00
Fenway Park,2019-04-23,23:10:00
Fenway Park,2019-04-24,23:10:00
Fenway Park,2019-04-25,23:10:00
Fenway Park,2019-04-26,23:10:00
Fenway Park,2019-04-27,20:05:00
Fenway Park,2019-04-28,17:05:00
Fenway Park,2019-04-29,23:10:00
Fenway Park,2019-04-30,23:10:00
Fenway Park,2019-05-01,17:05:00
Fenway Park,2019-05-10,23:10:00
Fenway Park,2019-05-11,17:05:00
Fenway Park,2019-05-12,17:05:00
Fenway Park,2019-05-14,23:10:00
Fenway Park,2019-05-15,23:10:00
Fenway Park,2019-05-17,23:10:00
Fenway Park,2019-05-18,23:15:00
Fenway Park,2019-05-19,17:05:00
Fenway Park,2019-05-27,20:05:00
Fenway Park,2019-05-28,23:10:00
Fenway Park,2019-05-29,22:10:00
Fenway Park,2019-06-07,23:10:00
Fenway Park,2019-06-08,17:05:00
Fenway Park,2019-06-08,22:10:00
Fenway Park,2019-06-09,17:05:00
Fenway Park,2019-06-10,23:10:00
Fenway Park,2019-06-11,23:10:00
Fenway Park,2019-06-12,20:05:00
Fenway Park,2019-06-13,23:10:00
Fenway Park,2019-06-21,23:10:00
Fenway Park,2019-06-22,20:05:00
Fenway Park,2019-06-23,17:05:00
Fenway Park,2019-06-24,23:10:00
Fenway Park,2019-06-25,23:10:00
Fenway Park,2019-06-26,17:05:00
Fenway Park,2019-07-12,23:10:00
Fenway Park,2019-07-13,23:15:00
Fenway Park,2019-07-14,23:05:00
Fenway Park,2019-07-15,23:10:00
Fenway Park,2019-07-16,23:10:00
Fenway Park,2019-07-17,23:10:00
Fenway Park,2019-07-18,17:05:00
Fenway Park,2019-07-25,23:10:00
Fenway Park,2019-07-26,23:10:00
Fenway Park,2019-07-27,20:05:00
Fenway Park,2019-07-28,23:05:00
Fenway Park,2019-07-30,23:10:00
Fenway Park,2019-07-31,23:10:00
Fenway Park,2019-08-01,23:10:00
Fenway Park,2019-08-05,23:10:00
Fenway Park,2019-08-06,23:10:00
Fenway Park,2019-08-07,23:10:00
Fenway Park,2019-08-08,23:10:00
Fenway Park,2019-08-09,23:10:00
Fenway Park,2019-08-10,20:05:00
Fenway Park,2019-08-11,17:05:00
Fenway Park,2019-08-16,23:10:00
Fenway Park,2019-08-17,23:10:00
Fenway Park,2019-08-18,17:05:00
Fenway Park,2019-08-20,23:10:00
Fenway Park,2019-08-21,23:10:00
Fenway Park,2019-08-22,17:05:00
Fenway Park,2019-09-03,23:10:00
Fenway Park,2019-09-04,23:10:00
Fenway Park,2019-09-05,23:10:00
Fenway Park,2019-09-06,23:10:00
Fenway Park,2019-09-07,20:05:00
Fenway Park,2019-09-09,00:05:00
Fenway Park,2019-09-09,23:10:00
Fenway Park,2019-09-17,23:10:00
Fenway Park,2019-09-18,23:10:00
Fenway Park,2019-09-19,17:05:00
Fenway Park,2019-09-27,23:10:00
Fenway Park,2019-09-28,17:05:00
Fenway Park,2019-09-29,19:05:00
Fenway Park,2020-07-24,23:30:00
Fenway Park,2020-07-25,17:35:00
Fenway Park,2020-07-26,17:35:00
Fenway Park,2020-07-27,23:35:00
Fenway Park,2020-07-28,23:30:00
Fenway Park,2020-08-07,23:30:00
Fenway Park,2020-08-08,23:30:00
Fenway Park,2020-08-09,17:35:00
Fenway Park,2020-08-10,23:30:00
Fenway Park,2020-08-11,23:30:00
Fenway Park,2020-08-12,23:30:00
Fenway Park,2020-08-13,20:30:00
Fenway Park,2020-08-18,23:30:00
Fenway Park,2020-08-19,17:35:00
Fenway Park,2020-08-28,23:30:00
Fenway Park,2020-08-29,23:30:00
Fenway Park,2020-08-30,17:35:00
Fenway Park,2020-08-31,23:30:00
Fenway Park,2020-09-01,23:30:00
Fenway Park,2020-09-02,23:30:00
Fenway Park,2020-09-03,23:30:00
Fenway Park,2020-09-04,20:10:00
Fenway Park,2020-09-04,20:15:00
Fenway Park,2020-09-05,23:30:00
Fenway Park,2020-09-06,17:35:00
Fenway Park,2020-09-18,23:30:00
Fenway Park,2020-09-19,23:30:00
Fenway Park,2020-09-20,17:07:00
Fenway Park,2020-09-22,23:30:00
Fenway Park,2020-09-23,23:30:00
Fenway Park,2020-09-24,23:30:00
Fenway Park,2021-04-01,18:10:00
Fenway Park,2021-04-02,18:10:00
Fenway Park,2021-04-03,17:10:00
Fenway Park,2021-04-04,17:10:00
Fenway Park,2021-04-05,23:10:00
Fenway Park,2021-04-06,23:10:00
Fenway Park,2021-04-07,17:10:00
Fenway Park,2021-04-16,23:10:00
Fenway Park,2021-04-17,20:05:00
Fenway Park,2021-04-18,17:10:00
Fenway Park,2021-04-18,21:10:00
Fenway Park,2021-04-19,15:10:00
Fenway Park,2021-04-20,23:10:00
Fenway Park,2021-04-21,23:10:00
Fenway Park,2021-04-22,23:10:00
Fenway Park,2021-04-23,23:10:00
Fenway Park,2021-04-24,17:10:00
Fenway Park,2021-04-25,17:10:00
Fenway Park,2021-05-04,23:10:00
Fenway Park,2021-05-05,23:10:00
Fenway Park,2021-05-06,17:10:00
Fenway Park,2021-05-11,23:10:00
Fenway Park,2021-05-12,23:10:00
Fenway Park,2021-05-13,23:10:00
Fenway Park,2021-05-14,23:10:00
Fenway Park,2021-05-15,20:10:00
Fenway Park,2021-05-16,17:10:00
Fenway Park,2021-05-25,23:10:00
Fenway Park,2021-05-26,23:10:00
Fenway Park,2021-05-28,23:10:00
Fenway Park,2021-05-29,20:10:00
Fenway Park,2021-05-30,17:10:00
Fenway Park,2021-06-07,21:10:00
Fenway Park,2021-06-08,23:10:00
Fenway Park,2021-06-09,23:10:00
Fenway Park,2021-06-10,23:10:00
Fenway Park,2021-06-11,23:10:00
Fenway Park,2021-06-12,20:10:00
Fenway Park,2021-06-13,17:10:00
Fenway Park,2021-06-14,23:10:00
Fenway Park,2021-06-25,23:10:00
Fenway Park,2021-06-26,23:15:00
Fenway Park,2021-06-27,17:10:00
Fenway Park,2021-06-28,23:10:00
Fenway Park,2021-06-29,23:10:00
Fenway Park,2021-06-30,23:10:00
Fenway Park,2021-07-01,17:10:00
Fenway Park,2021-07-09,23:10:00
Fenway Park,2021-07-10,20:10:00
Fenway Park,2021-07-11,17:10:00
Fenway Park,2021-07-22,23:10:00
Fenway Park,2021-07-23,23:10:00
Fenway Park,2021-07-24,20:05:00
Fenway Park,2021-07-25,17:10:00
Fenway Park,2021-07-26,23:10:00
Fenway Park,2021-07-27,23:10:00
Fenway Park,2021-07-28,18:10:00
Fenway Park,2021-07-28,23:10:00
Fenway Park,2021-07-29,23:10:00
Fenway Park,2021-08-10,23:10:00
Fenway Park,2021-08-11,23:10:00
Fenway Park,2021-08-12,20:10:00
Fenway Park,2021-08-13,23:10:00
Fenway Park,2021-08-14,20:10:00
Fenway Park,2021-08-15,17:10:00
Fenway Park,2021-08-20,23:10:00
Fenway Park,2021-08-21,23:10:00
Fenway Park,2021-08-22,17:10:00
Fenway Park,2021-08-23,17:10:00
Fenway Park,2021-08-24,23:10:00
Fenway Park,2021-08-25,23:10:00
Fenway Park,2021-08-26,23:10:00
Fenway Park,2021-09-03,23:10:00
Fenway Park,2021-09-04,20:10:00
Fenway Park,2021-09-05,17:10:00
Fenway Park,2021-09-06,17:10:00
Fenway Park,2021-09-07,23:10:00
Fenway Park,2021-09-08,23:10:00
Fenway Park,2021-09-17,23:10:00
Fenway Park,2021-09-18,17:10:00
Fenway Park,2021-09-19,17:10:00
Fenway Park,2021-09-21,23:10:00
Fenway Park,2021-09-22,23:10:00
Fenway Park,2021-09-24,23:10:00
Fenway Park,2021-09-25,20:10:00
Fenway Park,2021-09-26,23:08:00
Fenway Park,2021-10-06,00:08:00
Fenway Park,2021-10-10,20:07:00
Fenway Park,2021-10-11,23:07:00
Fenway Park,2021-10-19,00:08:00
Fenway Park,2021-10-20,00:08:00
Fenway Park,2021-10-20,21:08:00
Fenway Park,2022-04-15,18:10:00
