venue_name,date,time
Guaranteed Rate Field,2017-04-03,20:10:00
Guaranteed Rate Field,2017-04-04,18:10:00
Guaranteed Rate Field,2017-04-05,18:10:00
Guaranteed Rate Field,2017-04-06,18:10:00
Guaranteed Rate Field,2017-04-08,00:10:00
Guaranteed Rate Field,2017-04-08,18:10:00
Guaranteed Rate Field,2017-04-09,18:10:00
Wrigley Field,2017-04-11,00:05:00
Wrigley Field,2017-04-13,00:05:00
Wrigley Field,2017-04-13,18:20:00
Wrigley Field,2017-04-14,18:20:00
Wrigley Field,2017-04-15,18:20:00
Wrigley Field,2017-04-16,18:20:00
Wrigley Field,2017-04-18,00:05:00
Wrigley Field,2017-04-19,00:05:00
Wrigley Field,2017-04-19,18:20:00
Guaranteed Rate Field,2017-04-22,00:10:00
Guaranteed Rate Field,2017-04-22,23:10:00
Guaranteed Rate Field,2017-04-23,18:10:00
Guaranteed Rate Field,2017-04-25,00:10:00
Guaranteed Rate Field,2017-04-26,00:10:00
Guaranteed Rate Field,2017-04-26,18:10:00
Wrigley Field,2017-05-02,00:05:00
Wrigley Field,2017-05-03,00:05:00
Wrigley Field,2017-05-04,00:05:00
Wrigley Field,2017-05-04,18:20:00
Wrigley Field,2017-05-05,18:20:00
Wrigley Field,2017-05-06,23:15:00
Wrigley Field,2017-05-08,00:05:00
Guaranteed Rate Field,2017-05-10,00:10:00
Guaranteed Rate Field,2017-05-11,00:10:00
Guaranteed Rate Field,2017-05-12,00:10:00
Guaranteed Rate Field,2017-05-13,00:10:00
Guaranteed Rate Field,2017-05-13,23:10:00
Guaranteed Rate Field,2017-05-14,18:10:00
Wrigley Field,2017-05-17,00:05:00
Wrigley Field,2017-05-18,00:05:00
Wrigley Field,2017-05-18,18:20:00
Wrigley Field,2017-05-19,18:20:00
Wrigley Field,2017-05-20,18:20:00
Wrigley Field,2017-05-21,18:20:00
Wrigley Field,2017-05-23,00:05:00
Wrigley Field,2017-05-23,23:05:00
Wrigley Field,2017-05-25,00:05:00
Wrigley Field,2017-05-25,18:20:00
Guaranteed Rate Field,2017-05-27,00:10:00
Guaranteed Rate Field,2017-05-27,00:15:00
Guaranteed Rate Field,2017-05-27,18:10:00
Guaranteed Rate Field,2017-05-27,18:15:00
Guaranteed Rate Field,2017-05-28,18:10:00
Guaranteed Rate Field,2017-05-29,18:10:00
Guaranteed Rate Field,2017-05-31,00:10:00
Guaranteed Rate Field,2017-06-01,00:10:00
Wrigley Field,2017-06-02,18:20:00
Wrigley Field,2017-06-03,18:20:00
Wrigley Field,2017-06-04,23:35:00
Wrigley Field,2017-06-06,00:05:00
Wrigley Field,2017-06-07,00:05:00
Wrigley Field,2017-06-08,00:05:00
Wrigley Field,2017-06-09,00:05:00
Wrigley Field,2017-06-09,18:20:00
Wrigley Field,2017-06-10,18:20:00
Wrigley Field,2017-06-11,18:20:00
Guaranteed Rate Field,2017-06-13,00:10:00
