venue_name,date,time
Great American Ball Park,2017-04-03,20:10:00
Great American Ball Park,2017-04-05,23:10:00
Great American Ball Park,2017-04-06,16:35:00
Great American Ball Park,2017-04-13,23:10:00
Great American Ball Park,2017-04-14,23:10:00
Great American Ball Park,2017-04-15,17:10:00
Great American Ball Park,2017-04-16,17:10:00
Great American Ball Park,2017-04-18,23:10:00
Great American Ball Park,2017-04-19,23:10:00
Great American Ball Park,2017-04-20,23:10:00
Great American Ball Park,2017-04-21,23:10:00
Great American Ball Park,2017-04-22,17:10:00
Great American Ball Park,2017-04-23,17:10:00
Great American Ball Park,2017-05-01,23:10:00
Great American Ball Park,2017-05-02,23:10:00
Great American Ball Park,2017-05-03,23:10:00
Great American Ball Park,2017-05-04,16:35:00
Great American Ball Park,2017-05-05,22:40:00
Great American Ball Park,2017-05-06,23:10:00
Great American Ball Park,2017-05-07,20:10:00
Great American Ball Park,2017-05-08,23:10:00
Great American Ball Park,2017-05-09,23:10:00
Great American Ball Park,2017-05-19,23:10:00
Great American Ball Park,2017-05-20,20:10:00
Great American Ball Park,2017-05-21,17:10:00
Great American Ball Park,2017-05-22,23:10:00
Great American Ball Park,2017-05-23,23:10:00
Great American Ball Park,2017-06-02,23:10:00
Great American Ball Park,2017-06-03,20:10:00
Great American Ball Park,2017-06-04,17:10:00
Great American Ball Park,2017-06-05,23:10:00
Great American Ball Park,2017-06-06,23:10:00
Great American Ball Park,2017-06-07,23:10:00
Great American Ball Park,2017-06-08,16:35:00
Great American Ball Park,2017-06-16,23:10:00
Great American Ball Park,2017-06-17,20:10:00
Great American Ball Park,2017-06-18,17:10:00
Great American Ball Park,2017-06-27,23:10:00
Great American Ball Park,2017-06-28,23:10:00
Great American Ball Park,2017-06-29,23:10:00
Great American Ball Park,2017-06-30,23:10:00
Great American Ball Park,2017-07-01,20:10:00
Great American Ball Park,2017-07-02,17:10:00
Great American Ball Park,2017-07-14,23:10:00
Great American Ball Park,2017-07-15,23:10:00
Great American Ball Park,2017-07-16,17:10:00
Great American Ball Park,2017-07-17,16:35:00
Great American Ball Park,2017-07-18,23:10:00
Great American Ball Park,2017-07-19,23:10:00
Great American Ball Park,2017-07-20,16:35:00
Great American Ball Park,2017-07-21,23:10:00
Great American Ball Park,2017-07-22,23:10:00
Great American Ball Park,2017-07-23,17:10:00
Great American Ball Park,2017-08-04,22:40:00
Great American Ball Park,2017-08-05,23:10:00
Great American Ball Park,2017-08-06,17:10:00
Great American Ball Park,2017-08-07,23:10:00
Great American Ball Park,2017-08-08,23:10:00
Great American Ball Park,2017-08-09,23:10:00
Great American Ball Park,2017-08-10,16:35:00
Great American Ball Park,2017-08-22,23:10:00
Great American Ball Park,2017-08-23,23:10:00
Great American Ball Park,2017-08-24,23:10:00
Great American Ball Park,2017-08-25,23:10:00
Great American Ball Park,2017-08-26,22:40:00
Great American Ball Park,2017-08-27,17:10:00
Great American Ball Park,2017-08-29,23:10:00
Great American Ball Park,2017-08-30,23:10:00
Great American Ball Park,2017-08-31,16:35:00
Great American Ball Park,2017-09-04,17:10:00
Great American Ball Park,2017-09-05,23:10:00
Great American Ball Park,2017-09-06,16:35:00
Great American Ball Park,2017-09-15,23:10:00
Great American Ball Park,2017-09-16,20:10:00
Great American Ball Park,2017-09-17,17:10:00
Great American Ball Park,2017-09-19,23:10:00
Great American Ball Park,2017-09-20,23:10:00
Great American Ball Park,2017-09-21,23:10:00
Great American Ball Park,2017-09-22,23:10:00
Great American Ball Park,2017-09-23,20:10:00
Great American Ball Park,2017-09-24,17:10:00
Great American Ball Park,2018-03-29,20:10:00
Great American Ball Park,2018-03-30,20:10:00
Great American Ball Park,2018-03-31,18:10:00
Great American Ball Park,2018-04-01,20:10:00
Great American Ball Park,2018-04-02,20:10:00
Great American Ball Park,2018-04-03,22:40:00
Great American Ball Park,2018-04-12,22:40:00
Great American Ball Park,2018-04-13,22:40:00
Great American Ball Park,2018-04-14,17:10:00
Great American Ball Park,2018-04-15,17:10:00
Great American Ball Park,2018-04-23,22:40:00
Great American Ball Park,2018-04-24,22:40:00
Great American Ball Park,2018-04-25,22:40:00
Great American Ball Park,2018-04-26,16:35:00
Great American Ball Park,2018-04-30,23:10:00
Great American Ball Park,2018-05-01,23:10:00
Great American Ball Park,2018-05-02,23:10:00
Great American Ball Park,2018-05-04,23:10:00
Great American Ball Park,2018-05-05,23:10:00
Great American Ball Park,2018-05-06,20:10:00
Great American Ball Park,2018-05-07,23:10:00
Great American Ball Park,2018-05-08,23:10:00
Great American Ball Park,2018-05-09,16:35:00
Great American Ball Park,2018-05-18,23:10:00
Great American Ball Park,2018-05-19,17:10:00
Great American Ball Park,2018-05-19,23:10:00
Great American Ball Park,2018-05-20,17:10:00
Great American Ball Park,2018-05-22,23:10:00
Great American Ball Park,2018-05-23,23:10:00
Great American Ball Park,2018-05-24,16:35:00
Great American Ball Park,2018-06-05,23:10:00
Great American Ball Park,2018-06-06,23:10:00
Great American Ball Park,2018-06-07,16:35:00
Great American Ball Park,2018-06-08,23:10:00
Great American Ball Park,2018-06-09,20:10:00
Great American Ball Park,2018-06-10,17:10:00
Great American Ball Park,2018-06-19,23:10:00
Great American Ball Park,2018-06-20,16:35:00
Great American Ball Park,2018-06-21,23:10:00
Great American Ball Park,2018-06-22,23:10:00
Great American Ball Park,2018-06-23,20:10:00
Great American Ball Park,2018-06-24,17:10:00
Great American Ball Park,2018-06-28,23:10:00
Great American Ball Park,2018-06-29,23:10:00
Great American Ball Park,2018-06-30,20:10:00
Great American Ball Park,2018-07-01,17:10:00
Great American Ball Park,2018-07-02,23:10:00
Great American Ball Park,2018-07-03,23:10:00
Great American Ball Park,2018-07-04,23:10:00
Great American Ball Park,2018-07-20,23:10:00
Great American Ball Park,2018-07-21,23:10:00
Great American Ball Park,2018-07-22,17:10:00
Great American Ball Park,2018-07-23,23:10:00
Great American Ball Park,2018-07-24,23:10:00
Great American Ball Park,2018-07-25,16:35:00
Great American Ball Park,2018-07-26,23:10:00
Great American Ball Park,2018-07-27,23:10:00
Great American Ball Park,2018-07-28,22:40:00
Great American Ball Park,2018-07-29,17:10:00
Great American Ball Park,2018-08-10,23:10:00
Great American Ball Park,2018-08-11,22:40:00
Great American Ball Park,2018-08-12,17:10:00
Great American Ball Park,2018-08-13,23:10:00
Great American Ball Park,2018-08-14,23:10:00
Great American Ball Park,2018-08-15,23:10:00
Great American Ball Park,2018-08-17,23:10:00
Great American Ball Park,2018-08-18,23:10:00
Great American Ball Park,2018-08-19,17:10:00
Great American Ball Park,2018-08-28,23:10:00
Great American Ball Park,2018-08-29,23:10:00
Great American Ball Park,2018-08-30,16:35:00
Great American Ball Park,2018-09-06,22:40:00
Great American Ball Park,2018-09-07,22:40:00
Great American Ball Park,2018-09-08,19:10:00
Great American Ball Park,2018-09-09,20:10:00
Great American Ball Park,2018-09-10,22:40:00
Great American Ball Park,2018-09-11,22:40:00
Great American Ball Park,2018-09-12,16:35:00
Great American Ball Park,2018-09-25,22:40:00
Great American Ball Park,2018-09-26,22:40:00
