venue_name,date,time
Coors Field,2017-04-07,20:10:00
Coors Field,2017-04-09,00:10:00
Coors Field,2017-04-09,19:10:00
Coors Field,2017-04-11,00:40:00
Coors Field,2017-04-12,00:40:00
Coors Field,2017-04-12,19:10:00
Coors Field,2017-04-22,00:40:00
Coors Field,2017-04-23,00:10:00
Coors Field,2017-04-23,19:10:00
Coors Field,2017-04-25,00:40:00
Coors Field,2017-04-26,00:40:00
Coors Field,2017-04-27,00:40:00
Coors Field,2017-04-27,19:10:00
Coors Field,2017-05-06,00:40:00
Coors Field,2017-05-07,00:10:00
Coors Field,2017-05-07,19:10:00
Coors Field,2017-05-09,00:40:00
Coors Field,2017-05-09,18:10:00
Coors Field,2017-05-10,00:40:00
Coors Field,2017-05-10,19:10:00
Coors Field,2017-05-12,00:40:00
Coors Field,2017-05-13,00:40:00
Coors Field,2017-05-14,00:10:00
Coors Field,2017-05-14,19:10:00
Coors Field,2017-05-27,00:40:00
Coors Field,2017-05-28,01:10:00
Coors Field,2017-05-28,19:10:00
Coors Field,2017-05-29,19:10:00
Coors Field,2017-05-30,23:10:00
Coors Field,2017-06-07,00:40:00
Coors Field,2017-06-07,19:10:00
Coors Field,2017-06-16,00:40:00
Coors Field,2017-06-17,00:40:00
Coors Field,2017-06-17,19:10:00
Coors Field,2017-06-18,19:10:00
Coors Field,2017-06-21,00:40:00
Coors Field,2017-06-22,00:40:00
Coors Field,2017-06-22,19:10:00
Coors Field,2017-07-04,00:10:00
Coors Field,2017-07-05,00:10:00
Coors Field,2017-07-06,00:40:00
Coors Field,2017-07-06,19:10:00
Coors Field,2017-07-08,00:40:00
Coors Field,2017-07-09,01:10:00
Coors Field,2017-07-09,19:10:00
Coors Field,2017-07-18,00:40:00
Coors Field,2017-07-19,00:40:00
Coors Field,2017-07-19,19:10:00
Coors Field,2017-07-22,00:40:00
Coors Field,2017-07-23,00:10:00
Coors Field,2017-07-23,19:10:00
Coors Field,2017-08-02,00:40:00
Coors Field,2017-08-03,00:40:00
Coors Field,2017-08-03,19:10:00
Coors Field,2017-08-05,00:40:00
Coors Field,2017-08-06,00:10:00
Coors Field,2017-08-06,19:10:00
Coors Field,2017-08-15,00:40:00
Coors Field,2017-08-16,00:40:00
Coors Field,2017-08-17,00:40:00
Coors Field,2017-08-17,19:10:00
Coors Field,2017-08-19,00:40:00
Coors Field,2017-08-20,00:10:00
