venue_name,date,time
Comerica Park,2017-04-07,17:10:00
Comerica Park,2017-04-08,17:10:00
Comerica Park,2017-04-09,17:10:00
Comerica Park,2017-04-10,17:10:00
Comerica Park,2017-04-11,17:10:00
Comerica Park,2017-04-12,17:10:00
Comerica Park,2017-04-13,17:10:00
Comerica Park,2017-04-25,23:10:00
Comerica Park,2017-04-26,23:10:00
Comerica Park,2017-04-27,17:10:00
Comerica Park,2017-04-28,23:10:00
Comerica Park,2017-04-29,17:10:00
Comerica Park,2017-04-30,17:10:00
Comerica Park,2017-05-01,23:10:00
Comerica Park,2017-05-02,23:10:00
Comerica Park,2017-05-03,23:10:00
Comerica Park,2017-05-04,17:10:00
Comerica Park,2017-05-16,23:10:00
Comerica Park,2017-05-17,23:10:00
Comerica Park,2017-05-18,17:10:00
Comerica Park,2017-05-19,23:10:00
Comerica Park,2017-05-20,23:15:00
Comerica Park,2017-05-22,00:05:00
Comerica Park,2017-06-02,23:10:00
Comerica Park,2017-06-03,20:10:00
Comerica Park,2017-06-04,17:10:00
Comerica Park,2017-06-06,23:10:00
Comerica Park,2017-06-07,23:10:00
Comerica Park,2017-06-08,17:10:00
Comerica Park,2017-06-13,23:10:00
Comerica Park,2017-06-14,23:10:00
Comerica Park,2017-06-15,23:10:00
Comerica Park,2017-06-16,23:10:00
Comerica Park,2017-06-17,20:10:00
Comerica Park,2017-06-18,17:10:00
Comerica Park,2017-06-27,23:10:00
Comerica Park,2017-06-28,23:10:00
Comerica Park,2017-06-29,17:10:00
Comerica Park,2017-06-30,23:10:00
Comerica Park,2017-07-01,17:10:00
Comerica Park,2017-07-01,23:15:00
Comerica Park,2017-07-02,17:10:00
Comerica Park,2017-07-04,17:10:00
Comerica Park,2017-07-05,23:10:00
Comerica Park,2017-07-06,17:10:00
Comerica Park,2017-07-14,23:10:00
Comerica Park,2017-07-15,22:10:00
Comerica Park,2017-07-16,17:10:00
Comerica Park,2017-07-24,23:10:00
Comerica Park,2017-07-25,23:10:00
Comerica Park,2017-07-26,23:10:00
Comerica Park,2017-07-28,23:10:00
Comerica Park,2017-07-29,22:10:00
Comerica Park,2017-07-30,17:10:00
Comerica Park,2017-08-09,23:10:00
Comerica Park,2017-08-10,17:10:00
Comerica Park,2017-08-11,23:10:00
Comerica Park,2017-08-12,22:10:00
Comerica Park,2017-08-13,17:10:00
Comerica Park,2017-08-18,23:10:00
Comerica Park,2017-08-19,20:05:00
Comerica Park,2017-08-20,17:10:00
Comerica Park,2017-08-22,23:10:00
Comerica Park,2017-08-23,23:10:00
Comerica Park,2017-08-24,17:10:00
Comerica Park,2017-09-01,17:10:00
Comerica Park,2017-09-01,23:10:00
Comerica Park,2017-09-02,22:10:00
Comerica Park,2017-09-03,17:10:00
Comerica Park,2017-09-04,17:10:00
Comerica Park,2017-09-05,23:10:00
Comerica Park,2017-09-06,23:10:00
Comerica Park,2017-09-14,17:10:00
Comerica Park,2017-09-15,23:10:00
Comerica Park,2017-09-16,22:10:00
Comerica Park,2017-09-17,17:10:00
Comerica Park,2017-09-18,23:10:00
Comerica Park,2017-09-19,23:10:00
Comerica Park,2017-09-20,17:10:00
Comerica Park,2017-09-21,23:10:00
Comerica Park,2017-09-22,23:10:00
Comerica Park,2017-09-23,22:10:00
Comerica Park,2017-09-24,16:10:00
Comerica Park,2018-03-29,17:10:00
Comerica Park,2018-03-30,17:10:00
Comerica Park,2018-03-31,17:10:00
Comerica Park,2018-04-01,17:10:00
Comerica Park,2018-04-01,22:10:00
Comerica Park,2018-04-02,17:10:00
Comerica Park,2018-04-03,17:10:00
Comerica Park,2018-04-04,17:10:00
Comerica Park,2018-04-13,23:10:00
Comerica Park,2018-04-14,17:10:00
Comerica Park,2018-04-15,17:10:00
Comerica Park,2018-04-15,23:10:00
Comerica Park,2018-04-17,22:40:00
Comerica Park,2018-04-18,17:10:00
Comerica Park,2018-04-19,17:10:00
Comerica Park,2018-04-20,17:10:00
Comerica Park,2018-04-20,23:10:00
Comerica Park,2018-04-21,17:10:00
Comerica Park,2018-04-22,17:10:00
Comerica Park,2018-04-30,23:10:00
Comerica Park,2018-05-01,23:10:00
Comerica Park,2018-05-02,17:10:00
Comerica Park,2018-05-11,23:10:00
Comerica Park,2018-05-12,20:10:00
Comerica Park,2018-05-12,20:15:00
Comerica Park,2018-05-13,17:10:00
Comerica Park,2018-05-14,23:10:00
Comerica Park,2018-05-15,23:10:00
Comerica Park,2018-05-16,17:10:00
Comerica Park,2018-05-25,23:10:00
Comerica Park,2018-05-26,20:10:00
Comerica Park,2018-05-27,17:10:00
Comerica Park,2018-05-28,17:10:00
Comerica Park,2018-05-29,23:10:00
Comerica Park,2018-05-30,23:10:00
Comerica Park,2018-05-31,17:10:00
Comerica Park,2018-06-01,23:10:00
Comerica Park,2018-06-02,20:10:00
Comerica Park,2018-06-03,17:10:00
Comerica Park,2018-06-04,17:10:00
Comerica Park,2018-06-04,23:10:00
Comerica Park,2018-06-08,23:10:00
Comerica Park,2018-06-09,20:10:00
Comerica Park,2018-06-10,17:10:00
Comerica Park,2018-06-12,23:10:00
Comerica Park,2018-06-13,23:10:00
Comerica Park,2018-06-14,17:10:00
Comerica Park,2018-06-25,19:10:00
