venue_name,date,time
Kauffman Stadium,2017-04-10,20:15:00
Kauffman Stadium,2017-04-13,00:15:00
Kauffman Stadium,2017-04-14,00:15:00
Kauffman Stadium,2017-04-15,00:15:00
Kauffman Stadium,2017-04-15,23:15:00
Kauffman Stadium,2017-04-16,18:15:00
Kauffman Stadium,2017-04-19,00:15:00
Kauffman Stadium,2017-04-20,00:15:00
Kauffman Stadium,2017-04-29,00:15:00
Kauffman Stadium,2017-04-29,23:15:00
Kauffman Stadium,2017-04-30,18:15:00
Kauffman Stadium,2017-05-02,00:15:00
Kauffman Stadium,2017-05-03,00:15:00
Kauffman Stadium,2017-05-04,00:15:00
Kauffman Stadium,2017-05-04,18:15:00
Kauffman Stadium,2017-05-06,00:15:00
Kauffman Stadium,2017-05-06,20:15:00
Kauffman Stadium,2017-05-07,18:15:00
Kauffman Stadium,2017-05-13,00:15:00
Kauffman Stadium,2017-05-13,23:15:00
Kauffman Stadium,2017-05-14,18:15:00
Kauffman Stadium,2017-05-17,00:15:00
Kauffman Stadium,2017-05-18,00:15:00
Kauffman Stadium,2017-05-19,00:15:00
Kauffman Stadium,2017-05-29,23:15:00
Kauffman Stadium,2017-05-31,00:15:00
Kauffman Stadium,2017-06-01,00:15:00
Kauffman Stadium,2017-06-03,00:15:00
Kauffman Stadium,2017-06-03,18:15:00
Kauffman Stadium,2017-06-04,18:15:00
Kauffman Stadium,2017-06-06,00:15:00
Kauffman Stadium,2017-06-07,00:15:00
Kauffman Stadium,2017-06-08,00:15:00
Kauffman Stadium,2017-06-09,00:15:00
Kauffman Stadium,2017-06-20,00:15:00
Kauffman Stadium,2017-06-21,00:15:00
Kauffman Stadium,2017-06-21,18:15:00
Kauffman Stadium,2017-06-24,00:15:00
Kauffman Stadium,2017-06-24,18:15:00
Kauffman Stadium,2017-06-25,18:15:00
Kauffman Stadium,2017-07-01,00:15:00
Kauffman Stadium,2017-07-01,18:15:00
Kauffman Stadium,2017-07-02,00:35:00
Kauffman Stadium,2017-07-02,18:15:00
Kauffman Stadium,2017-07-15,00:15:00
Kauffman Stadium,2017-07-15,23:15:00
Kauffman Stadium,2017-07-16,18:15:00
Kauffman Stadium,2017-07-18,00:15:00
Kauffman Stadium,2017-07-19,00:15:00
Kauffman Stadium,2017-07-20,00:15:00
Kauffman Stadium,2017-07-21,00:15:00
Kauffman Stadium,2017-07-22,00:15:00
Kauffman Stadium,2017-07-22,23:15:00
Kauffman Stadium,2017-07-23,18:15:00
Kauffman Stadium,2017-08-04,00:15:00
Kauffman Stadium,2017-08-05,00:15:00
Kauffman Stadium,2017-08-05,23:15:00
Kauffman Stadium,2017-08-06,18:15:00
Kauffman Stadium,2017-08-06,18:20:00
Kauffman Stadium,2017-08-08,00:15:00
Kauffman Stadium,2017-08-09,00:15:00
Kauffman Stadium,2017-08-19,00:15:00
Kauffman Stadium,2017-08-19,23:15:00
Kauffman Stadium,2017-08-20,18:15:00
Kauffman Stadium,2017-08-23,00:15:00
Kauffman Stadium,2017-08-24,00:15:00
Kauffman Stadium,2017-08-24,18:15:00
Kauffman Stadium,2017-08-29,00:15:00
Kauffman Stadium,2017-08-30,00:15:00
Kauffman Stadium,2017-08-31,00:15:00
Kauffman Stadium,2017-09-08,00:15:00
Kauffman Stadium,2017-09-09,00:15:00
Kauffman Stadium,2017-09-09,23:15:00
Kauffman Stadium,2017-09-10,18:15:00
Kauffman Stadium,2017-09-12,00:15:00
Kauffman Stadium,2017-09-12,17:15:00
Kauffman Stadium,2017-09-13,18:15:00
Kauffman Stadium,2017-09-27,00:15:00
Kauffman Stadium,2017-09-28,00:15:00
Kauffman Stadium,2017-09-29,00:15:00
Kauffman Stadium,2017-09-30,00:15:00
Kauffman Stadium,2017-09-30,23:15:00
Kauffman Stadium,2017-10-01,19:15:00
Kauffman Stadium,2018-03-29,20:15:00
Kauffman Stadium,2018-03-31,23:15:00
Kauffman Stadium,2018-04-01,18:15:00
Kauffman Stadium,2018-04-10,00:15:00
Kauffman Stadium,2018-04-11,00:15:00
Kauffman Stadium,2018-04-11,18:15:00
Kauffman Stadium,2018-04-13,00:15:00
Kauffman Stadium,2018-04-14,00:15:00
Kauffman Stadium,2018-04-14,23:15:00
Kauffman Stadium,2018-04-15,18:15:00
Kauffman Stadium,2018-04-25,00:15:00
Kauffman Stadium,2018-04-26,00:15:00
Kauffman Stadium,2018-04-27,00:15:00
Kauffman Stadium,2018-04-28,00:15:00
Kauffman Stadium,2018-04-28,18:15:00
Kauffman Stadium,2018-04-29,00:15:00
Kauffman Stadium,2018-04-29,18:15:00
Kauffman Stadium,2018-05-03,18:15:00
Kauffman Stadium,2018-05-05,00:15:00
Kauffman Stadium,2018-05-05,20:15:00
Kauffman Stadium,2018-05-06,18:15:00
Kauffman Stadium,2018-05-14,23:05:00
Kauffman Stadium,2018-05-16,00:15:00
Kauffman Stadium,2018-05-16,18:15:00
Kauffman Stadium,2018-05-19,00:15:00
Kauffman Stadium,2018-05-19,23:15:00
Kauffman Stadium,2018-05-20,18:15:00
Kauffman Stadium,2018-05-28,23:15:00
Kauffman Stadium,2018-05-30,00:15:00
Kauffman Stadium,2018-05-31,00:15:00
Kauffman Stadium,2018-06-02,00:15:00
Kauffman Stadium,2018-06-02,18:15:00
Kauffman Stadium,2018-06-03,18:15:00
Kauffman Stadium,2018-06-13,00:15:00
Kauffman Stadium,2018-06-14,00:15:00
Kauffman Stadium,2018-06-16,00:15:00
Kauffman Stadium,2018-06-16,18:15:00
Kauffman Stadium,2018-06-17,18:15:00
Kauffman Stadium,2018-06-19,00:15:00
Kauffman Stadium,2018-06-20,00:15:00
Kauffman Stadium,2018-06-21,00:15:00
Kauffman Stadium,2018-06-25,20:15:00
Kauffman Stadium,2018-07-03,00:15:00
Kauffman Stadium,2018-07-04,00:15:00
Kauffman Stadium,2018-07-05,00:15:00
Kauffman Stadium,2018-07-07,00:15:00
Kauffman Stadium,2018-07-07,23:15:00
Kauffman Stadium,2018-07-08,18:15:00
Kauffman Stadium,2018-07-21,00:15:00
Kauffman Stadium,2018-07-21,23:15:00
Kauffman Stadium,2018-07-22,18:15:00
Kauffman Stadium,2018-07-24,00:15:00
Kauffman Stadium,2018-07-25,00:15:00
Kauffman Stadium,2018-07-25,18:15:00
Kauffman Stadium,2018-08-07,00:15:00
Kauffman Stadium,2018-08-08,00:15:00
Kauffman Stadium,2018-08-09,00:15:00
Kauffman Stadium,2018-08-11,00:15:00
Kauffman Stadium,2018-08-11,23:15:00
Kauffman Stadium,2018-08-12,18:15:00
Kauffman Stadium,2018-08-14,00:15:00
Kauffman Stadium,2018-08-15,00:15:00
Kauffman Stadium,2018-08-16,00:15:00
Kauffman Stadium,2018-08-17,00:15:00
Kauffman Stadium,2018-08-25,00:15:00
Kauffman Stadium,2018-08-25,23:15:00
Kauffman Stadium,2018-08-26,18:15:00
Kauffman Stadium,2018-08-29,00:15:00
Kauffman Stadium,2018-08-29,18:15:00
Kauffman Stadium,2018-09-01,00:15:00
Kauffman Stadium,2018-09-01,23:15:00
Kauffman Stadium,2018-09-02,18:15:00
Kauffman Stadium,2018-09-11,00:15:00
Kauffman Stadium,2018-09-12,00:15:00
Kauffman Stadium,2018-09-13,00:15:00
Kauffman Stadium,2018-09-14,00:15:00
Kauffman Stadium,2018-09-15,00:15:00
Kauffman Stadium,2018-09-15,23:15:00
Kauffman Stadium,2018-09-16,18:15:00
Kauffman Stadium,2018-09-28,00:15:00
Kauffman Stadium,2018-09-29,00:15:00
Kauffman Stadium,2018-09-29,23:15:00
Kauffman Stadium,2018-09-30,19:15:00
Kauffman Stadium,2019-03-28,20:15:00
Kauffman Stadium,2019-03-30,18:15:00
Kauffman Stadium,2019-03-31,18:15:00
Kauffman Stadium,2019-04-03,00:15:00
Kauffman Stadium,2019-04-03,17:15:00
Kauffman Stadium,2019-04-09,00:15:00
Kauffman Stadium,2019-04-10,00:15:00
Kauffman Stadium,2019-04-11,00:15:00
Kauffman Stadium,2019-04-11,17:15:00
Kauffman Stadium,2019-04-13,00:15:00
Kauffman Stadium,2019-04-13,23:15:00
Kauffman Stadium,2019-04-14,18:15:00
Kauffman Stadium,2019-04-27,00:15:00
Kauffman Stadium,2019-04-27,23:15:00
Kauffman Stadium,2019-04-28,18:15:00
Kauffman Stadium,2019-04-30,00:15:00
Kauffman Stadium,2019-05-01,00:15:00
Kauffman Stadium,2019-05-01,17:15:00
Kauffman Stadium,2019-05-01,17:20:00
Kauffman Stadium,2019-05-02,18:15:00
Kauffman Stadium,2019-05-11,00:15:00
Kauffman Stadium,2019-05-11,23:15:00
Kauffman Stadium,2019-05-12,18:15:00
Kauffman Stadium,2019-05-15,00:15:00
Kauffman Stadium,2019-05-16,00:15:00
Kauffman Stadium,2019-05-16,17:15:00
Kauffman Stadium,2019-05-25,00:15:00
Kauffman Stadium,2019-05-25,18:15:00
Kauffman Stadium,2019-05-26,00:15:00
Kauffman Stadium,2019-05-26,18:15:00
Kauffman Stadium,2019-06-05,00:15:00
Kauffman Stadium,2019-06-06,00:15:00
Kauffman Stadium,2019-06-06,17:15:00
Kauffman Stadium,2019-06-08,00:15:00
Kauffman Stadium,2019-06-08,18:15:00
Kauffman Stadium,2019-06-09,18:15:00
Kauffman Stadium,2019-06-12,00:15:00
Kauffman Stadium,2019-06-13,00:15:00
Kauffman Stadium,2019-06-21,00:15:00
Kauffman Stadium,2019-06-22,00:15:00
Kauffman Stadium,2019-06-22,18:15:00
Kauffman Stadium,2019-06-23,18:15:00
Kauffman Stadium,2019-07-03,00:15:00
Kauffman Stadium,2019-07-04,00:15:00
Kauffman Stadium,2019-07-04,17:15:00
Kauffman Stadium,2019-07-13,00:15:00
Kauffman Stadium,2019-07-13,23:15:00
Kauffman Stadium,2019-07-14,18:15:00
Kauffman Stadium,2019-07-16,00:15:00
Kauffman Stadium,2019-07-17,00:15:00
Kauffman Stadium,2019-07-18,00:15:00
Kauffman Stadium,2019-07-18,17:15:00
Kauffman Stadium,2019-07-26,00:15:00
Kauffman Stadium,2019-07-27,00:15:00
Kauffman Stadium,2019-07-27,23:15:00
Kauffman Stadium,2019-07-28,18:15:00
Kauffman Stadium,2019-07-30,00:15:00
Kauffman Stadium,2019-07-31,00:15:00
Kauffman Stadium,2019-07-31,17:15:00
Kauffman Stadium,2019-08-14,00:15:00
Kauffman Stadium,2019-08-15,00:15:00
Kauffman Stadium,2019-08-17,00:15:00
Kauffman Stadium,2019-08-17,23:15:00
Kauffman Stadium,2019-08-18,18:15:00
Kauffman Stadium,2019-08-27,00:15:00
Kauffman Stadium,2019-08-28,00:15:00
Kauffman Stadium,2019-08-29,00:15:00
Kauffman Stadium,2019-08-29,17:15:00
Kauffman Stadium,2019-08-31,00:15:00
Kauffman Stadium,2019-08-31,23:15:00
Kauffman Stadium,2019-09-01,18:15:00
Kauffman Stadium,2019-09-04,00:15:00
Kauffman Stadium,2019-09-05,00:15:00
Kauffman Stadium,2019-09-05,17:15:00
Kauffman Stadium,2019-09-14,00:15:00
Kauffman Stadium,2019-09-14,23:15:00
Kauffman Stadium,2019-09-15,18:15:00
Kauffman Stadium,2019-09-25,00:15:00
Kauffman Stadium,2019-09-26,00:15:00
Kauffman Stadium,2019-09-28,00:15:00
Kauffman Stadium,2019-09-28,18:15:00
Kauffman Stadium,2019-09-29,19:15:00
Kauffman Stadium,2020-08-01,00:05:00
Kauffman Stadium,2020-08-01,23:05:00
Kauffman Stadium,2020-08-02,18:05:00
Kauffman Stadium,2020-08-06,00:05:00
Kauffman Stadium,2020-08-06,23:07:00
Kauffman Stadium,2020-08-08,00:05:00
Kauffman Stadium,2020-08-08,23:05:00
Kauffman Stadium,2020-08-09,18:05:00
Kauffman Stadium,2020-08-19,00:05:00
Kauffman Stadium,2020-08-19,21:05:00
Kauffman Stadium,2020-08-19,21:10:00
Kauffman Stadium,2020-08-22,00:05:00
Kauffman Stadium,2020-08-22,23:05:00
Kauffman Stadium,2020-08-23,18:05:00
Kauffman Stadium,2020-09-01,00:05:00
Kauffman Stadium,2020-09-02,00:05:00
Kauffman Stadium,2020-09-03,00:05:00
Kauffman Stadium,2020-09-04,00:05:00
Kauffman Stadium,2020-09-05,00:05:00
Kauffman Stadium,2020-09-05,23:05:00
Kauffman Stadium,2020-09-06,18:05:00
Kauffman Stadium,2020-09-12,00:05:00
Kauffman Stadium,2020-09-12,23:05:00
Kauffman Stadium,2020-09-13,18:05:00
Kauffman Stadium,2020-09-22,00:05:00
Kauffman Stadium,2020-09-23,00:05:00
Kauffman Stadium,2020-09-24,00:05:00
Kauffman Stadium,2020-09-25,00:05:00
Kauffman Stadium,2020-09-26,00:05:00
Kauffman Stadium,2020-09-26,23:05:00
Kauffman Stadium,2020-09-27,17:05:00
Kauffman Stadium,2021-04-01,20:10:00
Kauffman Stadium,2021-04-03,18:10:00
Kauffman Stadium,2021-04-04,18:10:00
