venue_name,date,time
Dodger Stadium,2017-04-03,20:10:00
Dodger Stadium,2017-04-05,02:10:00
Dodger Stadium,2017-04-06,02:10:00
Dodger Stadium,2017-04-06,19:10:00
Dodger Stadium,2017-04-15,02:10:00
Dodger Stadium,2017-04-16,01:10:00
Dodger Stadium,2017-04-16,20:10:00
Dodger Stadium,2017-04-18,02:10:00
Dodger Stadium,2017-04-19,02:10:00
Dodger Stadium,2017-04-20,02:10:00
Dodger Stadium,2017-04-29,02:10:00
Dodger Stadium,2017-04-30,01:10:00
Dodger Stadium,2017-04-30,20:10:00
Dodger Stadium,2017-05-02,02:10:00
Dodger Stadium,2017-05-03,02:10:00
Dodger Stadium,2017-05-04,02:10:00
Dodger Stadium,2017-05-09,02:10:00
Dodger Stadium,2017-05-10,02:10:00
Dodger Stadium,2017-05-11,02:10:00
Dodger Stadium,2017-05-19,02:10:00
Dodger Stadium,2017-05-20,02:10:00
Dodger Stadium,2017-05-21,02:10:00
Dodger Stadium,2017-05-21,20:10:00
Dodger Stadium,2017-05-24,02:10:00
Dodger Stadium,2017-05-25,02:10:00
Dodger Stadium,2017-05-26,02:10:00
Dodger Stadium,2017-05-27,02:10:00
Dodger Stadium,2017-05-27,23:15:00
Dodger Stadium,2017-05-28,20:10:00
Dodger Stadium,2017-06-06,02:10:00
Dodger Stadium,2017-06-07,02:10:00
Dodger Stadium,2017-06-07,19:10:00
Dodger Stadium,2017-06-10,02:10:00
Dodger Stadium,2017-06-11,02:10:00
Dodger Stadium,2017-06-11,20:10:00
Dodger Stadium,2017-06-20,02:10:00
Dodger Stadium,2017-06-21,02:10:00
Dodger Stadium,2017-06-22,02:10:00
Dodger Stadium,2017-06-23,02:10:00
Dodger Stadium,2017-06-24,02:10:00
Dodger Stadium,2017-06-25,02:10:00
Dodger Stadium,2017-06-25,20:10:00
Dodger Stadium,2017-06-27,02:10:00
Dodger Stadium,2017-06-28,02:10:00
Dodger Stadium,2017-07-05,01:10:00
Dodger Stadium,2017-07-06,02:10:00
