venue_name,date,time
Target Field,2017-04-03,20:10:00
Target Field,2017-04-05,17:10:00
Target Field,2017-04-06,17:10:00
Target Field,2017-04-15,00:10:00
Target Field,2017-04-15,18:10:00
Target Field,2017-04-16,20:10:00
Target Field,2017-04-18,00:10:00
Target Field,2017-04-19,00:10:00
Target Field,2017-04-20,00:10:00
Target Field,2017-04-20,17:10:00
Target Field,2017-04-22,00:10:00
Target Field,2017-04-22,18:10:00
Target Field,2017-04-23,18:10:00
Target Field,2017-05-03,00:10:00
Target Field,2017-05-04,00:10:00
Target Field,2017-05-04,17:10:00
Target Field,2017-05-06,00:10:00
Target Field,2017-05-06,18:10:00
Target Field,2017-05-07,18:10:00
Target Field,2017-05-17,00:10:00
Target Field,2017-05-18,00:10:00
Target Field,2017-05-18,17:10:00
Target Field,2017-05-18,23:10:00
Target Field,2017-05-20,00:10:00
Target Field,2017-05-20,18:10:00
Target Field,2017-05-21,18:10:00
Target Field,2017-05-21,18:15:00
Target Field,2017-05-27,00:10:00
Target Field,2017-05-27,18:10:00
Target Field,2017-05-28,18:10:00
Target Field,2017-05-29,18:10:00
Target Field,2017-05-31,00:10:00
Target Field,2017-05-31,17:10:00
Target Field,2017-06-13,00:10:00
Target Field,2017-06-14,00:10:00
Target Field,2017-06-15,00:10:00
Target Field,2017-06-15,17:10:00
Target Field,2017-06-17,00:10:00
Target Field,2017-06-17,18:10:00
Target Field,2017-06-18,00:10:00
Target Field,2017-06-18,18:10:00
Target Field,2017-06-21,00:10:00
Target Field,2017-06-22,00:10:00
Target Field,2017-06-22,17:10:00
Target Field,2017-07-04,00:10:00
Target Field,2017-07-04,18:10:00
Target Field,2017-07-06,00:10:00
Target Field,2017-07-07,00:10:00
Target Field,2017-07-08,00:10:00
Target Field,2017-07-08,18:10:00
Target Field,2017-07-09,18:10:00
Target Field,2017-07-18,00:10:00
Target Field,2017-07-19,00:10:00
Target Field,2017-07-19,17:10:00
Target Field,2017-07-22,00:10:00
Target Field,2017-07-22,23:10:00
Target Field,2017-07-23,18:10:00
Target Field,2017-08-04,00:10:00
Target Field,2017-08-05,00:10:00
Target Field,2017-08-05,23:10:00
Target Field,2017-08-06,18:10:00
Target Field,2017-08-08,00:10:00
Target Field,2017-08-09,00:10:00
Target Field,2017-08-16,00:10:00
Target Field,2017-08-17,00:10:00
Target Field,2017-08-17,17:10:00
Target Field,2017-08-17,23:10:00
Target Field,2017-08-19,00:10:00
Target Field,2017-08-19,23:10:00
Target Field,2017-08-20,18:10:00
Target Field,2017-08-30,00:10:00
Target Field,2017-08-31,00:10:00
Target Field,2017-08-31,17:10:00
Target Field,2017-09-02,00:10:00
Target Field,2017-09-02,23:10:00
Target Field,2017-09-03,18:10:00
Target Field,2017-09-13,00:10:00
Target Field,2017-09-14,00:10:00
Target Field,2017-09-15,00:10:00
Target Field,2017-09-16,00:10:00
Target Field,2017-09-16,23:10:00
Target Field,2017-09-17,18:10:00
Target Field,2017-09-30,00:10:00
Target Field,2017-09-30,23:10:00
Target Field,2017-10-01,19:10:00
Target Field,2018-04-05,20:10:00
Target Field,2018-04-07,18:10:00
Target Field,2018-04-08,18:10:00
Target Field,2018-04-10,00:10:00
Target Field,2018-04-11,00:10:00
Target Field,2018-04-11,17:10:00
Target Field,2018-04-13,00:10:00
Target Field,2018-04-14,00:10:00
Target Field,2018-04-14,18:10:00
Target Field,2018-04-15,18:10:00
Target Field,2018-04-28,00:10:00
Target Field,2018-04-28,18:10:00
Target Field,2018-04-29,18:10:00
Target Field,2018-05-01,00:10:00
Target Field,2018-05-02,00:10:00
Target Field,2018-05-02,17:10:00
Target Field,2018-05-14,23:10:00
Target Field,2018-05-16,00:10:00
Target Field,2018-05-16,17:10:00
Target Field,2018-05-19,00:10:00
Target Field,2018-05-19,23:10:00
Target Field,2018-05-20,18:10:00
Target Field,2018-05-22,00:10:00
Target Field,2018-05-23,00:10:00
Target Field,2018-05-23,17:10:00
Target Field,2018-06-01,00:10:00
Target Field,2018-06-02,00:10:00
Target Field,2018-06-02,20:10:00
Target Field,2018-06-03,18:10:00
Target Field,2018-06-05,20:10:00
Target Field,2018-06-05,20:15:00
Target Field,2018-06-07,00:10:00
Target Field,2018-06-07,17:10:00
Target Field,2018-06-09,00:10:00
Target Field,2018-06-09,18:10:00
Target Field,2018-06-10,18:10:00
Target Field,2018-06-20,00:10:00
Target Field,2018-06-21,00:10:00
Target Field,2018-06-21,17:10:00
Target Field,2018-06-23,00:10:00
Target Field,2018-06-23,18:10:00
Target Field,2018-06-24,18:10:00
Target Field,2018-07-06,00:10:00
Target Field,2018-07-07,00:10:00
Target Field,2018-07-07,18:10:00
Target Field,2018-07-08,18:10:00
Target Field,2018-07-10,00:10:00
Target Field,2018-07-11,00:10:00
Target Field,2018-07-11,17:10:00
Target Field,2018-07-13,00:10:00
Target Field,2018-07-14,00:10:00
Target Field,2018-07-14,18:10:00
Target Field,2018-07-15,18:10:00
Target Field,2018-07-31,00:10:00
Target Field,2018-08-01,00:10:00
Target Field,2018-08-01,17:10:00
Target Field,2018-08-04,00:10:00
Target Field,2018-08-04,23:10:00
Target Field,2018-08-05,18:10:00
Target Field,2018-08-15,00:10:00
Target Field,2018-08-15,17:10:00
Target Field,2018-08-17,00:10:00
Target Field,2018-08-18,00:10:00
Target Field,2018-08-18,23:10:00
Target Field,2018-08-19,18:10:00
Target Field,2018-08-20,23:10:00
Target Field,2018-08-24,00:10:00
Target Field,2018-08-25,00:10:00
Target Field,2018-08-25,23:10:00
Target Field,2018-08-26,18:10:00
Target Field,2018-09-08,00:10:00
Target Field,2018-09-08,23:10:00
Target Field,2018-09-09,18:10:00
Target Field,2018-09-11,00:10:00
Target Field,2018-09-12,00:10:00
Target Field,2018-09-13,00:10:00
Target Field,2018-09-26,00:10:00
Target Field,2018-09-27,00:10:00
Target Field,2018-09-28,00:10:00
Target Field,2018-09-28,18:10:00
Target Field,2018-09-29,00:10:00
Target Field,2018-09-29,23:10:00
Target Field,2018-09-30,19:10:00
Target Field,2019-03-28,20:10:00
Target Field,2019-03-30,18:10:00
Target Field,2019-03-31,18:10:00
Target Field,2019-04-13,00:10:00
Target Field,2019-04-13,18:10:00
Target Field,2019-04-14,18:10:00
Target Field,2019-04-15,23:40:00
Target Field,2019-04-16,23:40:00
Target Field,2019-04-17,23:40:00
Target Field,2019-04-18,17:10:00
Target Field,2019-04-27,00:10:00
Target Field,2019-04-27,18:10:00
Target Field,2019-04-28,18:10:00
Target Field,2019-04-29,23:40:00
Target Field,2019-04-30,23:40:00
Target Field,2019-05-02,00:10:00
Target Field,2019-05-02,17:10:00
Target Field,2019-05-11,00:10:00
Target Field,2019-05-11,18:10:00
Target Field,2019-05-12,00:10:00
Target Field,2019-05-12,18:10:00
Target Field,2019-05-13,23:40:00
Target Field,2019-05-14,23:40:00
Target Field,2019-05-15,17:10:00
Target Field,2019-05-25,00:10:00
Target Field,2019-05-25,18:10:00
Target Field,2019-05-26,18:10:00
Target Field,2019-05-27,23:10:00
Target Field,2019-05-29,00:10:00
Target Field,2019-06-12,00:10:00
Target Field,2019-06-13,00:10:00
Target Field,2019-06-13,17:10:00
Target Field,2019-06-15,00:10:00
Target Field,2019-06-15,23:10:00
Target Field,2019-06-16,18:10:00
Target Field,2019-06-18,00:10:00
Target Field,2019-06-19,00:10:00
Target Field,2019-06-20,00:10:00
Target Field,2019-06-26,00:10:00
Target Field,2019-06-27,00:10:00
Target Field,2019-06-27,17:10:00
Target Field,2019-07-06,00:10:00
Target Field,2019-07-06,18:10:00
Target Field,2019-07-07,18:10:00
Target Field,2019-07-17,00:10:00
Target Field,2019-07-17,17:10:00
Target Field,2019-07-19,00:10:00
Target Field,2019-07-20,00:10:00
Target Field,2019-07-20,23:10:00
Target Field,2019-07-21,18:10:00
Target Field,2019-07-23,00:10:00
Target Field,2019-07-24,00:10:00
Target Field,2019-07-25,00:10:00
Target Field,2019-08-03,00:10:00
Target Field,2019-08-03,23:10:00
Target Field,2019-08-04,18:10:00
Target Field,2019-08-06,00:10:00
Target Field,2019-08-07,00:10:00
Target Field,2019-08-07,17:10:00
Target Field,2019-08-09,00:10:00
Target Field,2019-08-10,00:10:00
Target Field,2019-08-10,23:10:00
Target Field,2019-08-11,18:10:00
Target Field,2019-08-20,00:10:00
Target Field,2019-08-21,00:10:00
Target Field,2019-08-21,17:10:00
Target Field,2019-08-24,00:10:00
Target Field,2019-08-24,23:10:00
Target Field,2019-08-25,18:10:00
Target Field,2019-09-07,00:10:00
Target Field,2019-09-07,23:10:00
Target Field,2019-09-08,18:10:00
Target Field,2019-09-10,23:40:00
Target Field,2019-09-11,23:40:00
Target Field,2019-09-12,23:40:00
Target Field,2019-09-16,23:40:00
Target Field,2019-09-17,23:40:00
Target Field,2019-09-18,23:40:00
Target Field,2019-09-19,23:40:00
Target Field,2019-09-21,00:10:00
Target Field,2019-09-21,23:10:00
Target Field,2019-09-22,18:10:00
Target Field,2019-10-08,00:40:00
Target Field,2020-07-29,00:10:00
Target Field,2020-07-30,00:10:00
Target Field,2020-07-30,23:07:00
Target Field,2020-08-01,00:10:00
Target Field,2020-08-01,23:10:00
Target Field,2020-08-02,18:10:00
Target Field,2020-08-04,00:10:00
Target Field,2020-08-04,18:10:00
Target Field,2020-08-15,00:10:00
Target Field,2020-08-15,17:35:00
Target Field,2020-08-15,17:40:00
Target Field,2020-08-16,18:10:00
Target Field,2020-08-18,00:10:00
Target Field,2020-08-19,00:10:00
Target Field,2020-08-20,00:10:00
Target Field,2020-08-20,23:10:00
Target Field,2020-09-01,00:10:00
Target Field,2020-09-02,00:10:00
Target Field,2020-09-03,00:10:00
Target Field,2020-09-04,18:10:00
Target Field,2020-09-04,18:15:00
Target Field,2020-09-05,23:10:00
Target Field,2020-09-06,18:10:00
Target Field,2020-09-07,18:10:00
Target Field,2020-09-12,00:10:00
Target Field,2020-09-13,00:07:00
Target Field,2020-09-13,18:10:00
Target Field,2020-09-22,23:40:00
Target Field,2020-09-23,23:40:00
Target Field,2020-09-26,00:10:00
Target Field,2020-09-26,23:10:00
Target Field,2020-09-27,19:10:00
Target Field,2020-09-29,18:08:00
Target Field,2020-09-30,17:08:00
Target Field,2021-04-08,20:10:00
Target Field,2021-04-10,18:10:00
Target Field,2021-04-11,18:10:00
Target Field,2021-04-12,18:10:00
Target Field,2021-04-13,18:10:00
Target Field,2021-04-14,18:10:00
Target Field,2021-04-14,18:15:00
Target Field,2021-04-15,17:10:00
Target Field,2021-04-24,00:10:00
Target Field,2021-04-24,18:10:00
