venue_name,date,time
Citi Field,2017-04-03,17:10:00
Citi Field,2017-04-05,23:10:00
Citi Field,2017-04-06,23:10:00
Citi Field,2017-04-07,23:10:00
Citi Field,2017-04-08,23:10:00
Citi Field,2017-04-10,00:00:00
Yankee Stadium,2017-04-10,17:05:00
Yankee Stadium,2017-04-12,17:05:00
Yankee Stadium,2017-04-13,23:05:00
Yankee Stadium,2017-04-14,23:05:00
Yankee Stadium,2017-04-15,17:05:00
Yankee Stadium,2017-04-17,00:05:00
Yankee Stadium,2017-04-17,23:05:00
Yankee Stadium,2017-04-18,23:05:00
Citi Field,2017-04-18,23:10:00
Yankee Stadium,2017-04-19,23:05:00
Citi Field,2017-04-19,23:10:00
Citi Field,2017-04-20,23:10:00
Citi Field,2017-04-21,23:10:00
Citi Field,2017-04-22,20:05:00
Citi Field,2017-04-24,00:00:00
Citi Field,2017-04-25,23:10:00
Citi Field,2017-04-26,23:10:00
Citi Field,2017-04-27,17:10:00
Yankee Stadium,2017-04-28,23:05:00
Yankee Stadium,2017-04-29,17:05:00
Yankee Stadium,2017-04-30,17:05:00
Yankee Stadium,2017-05-01,23:05:00
Yankee Stadium,2017-05-02,23:05:00
Yankee Stadium,2017-05-03,23:05:00
Citi Field,2017-05-05,23:10:00
Citi Field,2017-05-06,23:10:00
Citi Field,2017-05-07,17:10:00
Citi Field,2017-05-08,23:10:00
Citi Field,2017-05-09,23:10:00
Citi Field,2017-05-10,17:10:00
Yankee Stadium,2017-05-11,23:05:00
Yankee Stadium,2017-05-12,23:05:00
Yankee Stadium,2017-05-13,17:05:00
Yankee Stadium,2017-05-14,18:05:00
Yankee Stadium,2017-05-14,18:10:00
Citi Field,2017-05-19,23:10:00
Citi Field,2017-05-20,23:15:00
Citi Field,2017-05-21,17:10:00
Yankee Stadium,2017-05-22,23:05:00
Yankee Stadium,2017-05-23,23:05:00
Citi Field,2017-05-23,23:10:00
Yankee Stadium,2017-05-24,23:05:00
Citi Field,2017-05-24,23:10:00
Citi Field,2017-05-25,23:10:00
Yankee Stadium,2017-05-25,17:05:00
Yankee Stadium,2017-05-26,23:05:00
Yankee Stadium,2017-05-27,17:05:00
Yankee Stadium,2017-05-28,17:05:00
Citi Field,2017-05-29,20:10:00
Citi Field,2017-05-30,23:10:00
Citi Field,2017-05-31,23:10:00
Citi Field,2017-06-01,17:10:00
Citi Field,2017-06-02,23:10:00
Citi Field,2017-06-03,23:15:00
Citi Field,2017-06-04,17:10:00
