venue_name,date,time
Oakland Coliseum,2017-04-04,02:05:00
Oakland Coliseum,2017-04-05,02:05:00
Oakland Coliseum,2017-04-06,02:05:00
Oakland Coliseum,2017-04-06,19:35:00
Oakland Coliseum,2017-04-15,02:05:00
Oakland Coliseum,2017-04-15,20:05:00
Oakland Coliseum,2017-04-16,20:05:00
Oakland Coliseum,2017-04-18,02:05:00
Oakland Coliseum,2017-04-19,02:05:00
Oakland Coliseum,2017-04-19,19:35:00
Oakland Coliseum,2017-04-21,02:05:00
Oakland Coliseum,2017-04-22,02:05:00
Oakland Coliseum,2017-04-22,20:05:00
Oakland Coliseum,2017-04-23,20:05:00
Oakland Coliseum,2017-05-06,02:05:00
Oakland Coliseum,2017-05-07,01:05:00
Oakland Coliseum,2017-05-07,20:05:00
Oakland Coliseum,2017-05-09,02:05:00
Oakland Coliseum,2017-05-10,02:05:00
Oakland Coliseum,2017-05-10,19:35:00
Oakland Coliseum,2017-05-19,02:05:00
Oakland Coliseum,2017-05-20,01:35:00
Oakland Coliseum,2017-05-20,20:05:00
Oakland Coliseum,2017-05-21,20:05:00
Oakland Coliseum,2017-05-24,02:05:00
Oakland Coliseum,2017-05-24,19:35:00
Oakland Coliseum,2017-06-03,02:05:00
Oakland Coliseum,2017-06-03,20:05:00
Oakland Coliseum,2017-06-04,20:05:00
Oakland Coliseum,2017-06-06,02:05:00
Oakland Coliseum,2017-06-07,02:05:00
Oakland Coliseum,2017-06-07,19:35:00
Oakland Coliseum,2017-06-16,02:05:00
Oakland Coliseum,2017-06-17,01:35:00
Oakland Coliseum,2017-06-17,20:05:00
Oakland Coliseum,2017-06-18,20:05:00
Oakland Coliseum,2017-06-20,02:05:00
Oakland Coliseum,2017-06-21,02:05:00
Oakland Coliseum,2017-06-22,02:05:00
Oakland Coliseum,2017-06-22,19:35:00
Oakland Coliseum,2017-07-01,02:05:00
Oakland Coliseum,2017-07-01,20:05:00
Oakland Coliseum,2017-07-02,20:05:00
Oakland Coliseum,2017-07-04,01:05:00
Oakland Coliseum,2017-07-04,20:05:00
Oakland Coliseum,2017-07-05,19:35:00
Oakland Coliseum,2017-07-15,02:05:00
Oakland Coliseum,2017-07-16,01:05:00
Oakland Coliseum,2017-07-16,20:05:00
Oakland Coliseum,2017-07-18,02:05:00
Oakland Coliseum,2017-07-19,02:05:00
Oakland Coliseum,2017-07-19,19:35:00
Oakland Coliseum,2017-07-29,02:05:00
Oakland Coliseum,2017-07-30,01:05:00
Oakland Coliseum,2017-07-30,20:05:00
Oakland Coliseum,2017-08-01,02:05:00
Oakland Coliseum,2017-08-02,02:05:00
Oakland Coliseum,2017-08-09,02:05:00
Oakland Coliseum,2017-08-09,19:35:00
Oakland Coliseum,2017-08-11,02:05:00
Oakland Coliseum,2017-08-12,02:05:00
Oakland Coliseum,2017-08-13,01:05:00
Oakland Coliseum,2017-08-13,20:05:00
Oakland Coliseum,2017-08-15,02:05:00
Oakland Coliseum,2017-08-16,02:05:00
Oakland Coliseum,2017-08-16,19:35:00
Oakland Coliseum,2017-08-26,02:05:00
Oakland Coliseum,2017-08-26,20:05:00
Oakland Coliseum,2017-08-27,20:05:00
Oakland Coliseum,2017-09-04,20:05:00
Oakland Coliseum,2017-09-06,02:05:00
Oakland Coliseum,2017-09-06,19:35:00
Oakland Coliseum,2017-09-09,02:05:00
Oakland Coliseum,2017-09-09,20:05:00
Oakland Coliseum,2017-09-09,20:10:00
Oakland Coliseum,2017-09-10,20:05:00
Oakland Coliseum,2017-09-23,02:05:00
Oakland Coliseum,2017-09-24,01:05:00
Oakland Coliseum,2017-09-24,20:05:00
Oakland Coliseum,2017-09-26,02:05:00
Oakland Coliseum,2017-09-27,02:05:00
Oakland Coliseum,2017-09-27,19:35:00
Oakland Coliseum,2018-03-29,20:05:00
Oakland Coliseum,2018-03-31,02:05:00
Oakland Coliseum,2018-03-31,20:05:00
Oakland Coliseum,2018-04-01,20:05:00
Oakland Coliseum,2018-04-03,02:05:00
Oakland Coliseum,2018-04-04,02:05:00
Oakland Coliseum,2018-04-05,02:05:00
