venue_name,date,time
Citizens Bank Park,2017-04-07,19:05:00
Citizens Bank Park,2017-04-08,23:05:00
Citizens Bank Park,2017-04-09,17:35:00
Citizens Bank Park,2017-04-10,23:05:00
Citizens Bank Park,2017-04-11,23:05:00
Citizens Bank Park,2017-04-12,23:05:00
Citizens Bank Park,2017-04-21,23:05:00
Citizens Bank Park,2017-04-22,23:05:00
Citizens Bank Park,2017-04-23,17:35:00
Citizens Bank Park,2017-04-25,23:05:00
Citizens Bank Park,2017-04-26,23:05:00
Citizens Bank Park,2017-04-27,17:05:00
Citizens Bank Park,2017-05-05,23:05:00
Citizens Bank Park,2017-05-06,23:05:00
Citizens Bank Park,2017-05-07,18:35:00
Citizens Bank Park,2017-05-09,23:05:00
Citizens Bank Park,2017-05-10,17:05:00
Citizens Bank Park,2017-05-22,23:05:00
Citizens Bank Park,2017-05-23,23:05:00
Citizens Bank Park,2017-05-24,23:05:00
Citizens Bank Park,2017-05-25,17:05:00
Citizens Bank Park,2017-05-26,23:05:00
Citizens Bank Park,2017-05-27,20:05:00
Citizens Bank Park,2017-05-28,17:35:00
Citizens Bank Park,2017-06-02,23:05:00
Citizens Bank Park,2017-06-03,20:05:00
Citizens Bank Park,2017-06-04,17:35:00
Citizens Bank Park,2017-06-14,23:05:00
Citizens Bank Park,2017-06-15,23:05:00
Citizens Bank Park,2017-06-16,23:05:00
Citizens Bank Park,2017-06-17,20:05:00
Citizens Bank Park,2017-06-18,17:35:00
Citizens Bank Park,2017-06-20,23:05:00
Citizens Bank Park,2017-06-21,23:05:00
Citizens Bank Park,2017-06-22,17:05:00
Citizens Bank Park,2017-07-03,23:05:00
Citizens Bank Park,2017-07-04,20:05:00
Citizens Bank Park,2017-07-05,23:05:00
Citizens Bank Park,2017-07-06,22:05:00
Citizens Bank Park,2017-07-07,22:35:00
Citizens Bank Park,2017-07-08,20:05:00
Citizens Bank Park,2017-07-09,17:35:00
Citizens Bank Park,2017-07-21,23:05:00
Citizens Bank Park,2017-07-22,23:05:00
Citizens Bank Park,2017-07-23,17:35:00
Citizens Bank Park,2017-07-24,23:05:00
Citizens Bank Park,2017-07-25,23:05:00
Citizens Bank Park,2017-07-26,23:05:00
Citizens Bank Park,2017-07-28,23:05:00
Citizens Bank Park,2017-07-29,23:05:00
Citizens Bank Park,2017-07-30,17:35:00
Citizens Bank Park,2017-07-31,16:35:00
Citizens Bank Park,2017-08-10,23:05:00
Citizens Bank Park,2017-08-11,23:05:00
Citizens Bank Park,2017-08-12,23:05:00
Citizens Bank Park,2017-08-13,17:35:00
Citizens Bank Park,2017-08-22,20:05:00
Citizens Bank Park,2017-08-22,20:10:00
Citizens Bank Park,2017-08-23,23:05:00
Citizens Bank Park,2017-08-24,17:05:00
Citizens Bank Park,2017-08-25,23:05:00
Citizens Bank Park,2017-08-26,23:05:00
Citizens Bank Park,2017-08-27,17:35:00
Citizens Bank Park,2017-08-28,23:05:00
Citizens Bank Park,2017-08-29,23:05:00
Citizens Bank Park,2017-08-30,16:05:00
Citizens Bank Park,2017-08-30,16:10:00
Citizens Bank Park,2017-09-12,23:05:00
Citizens Bank Park,2017-09-13,23:05:00
Citizens Bank Park,2017-09-14,23:05:00
Citizens Bank Park,2017-09-15,23:05:00
Citizens Bank Park,2017-09-16,23:05:00
Citizens Bank Park,2017-09-17,17:35:00
Citizens Bank Park,2017-09-18,23:05:00
Citizens Bank Park,2017-09-19,23:05:00
Citizens Bank Park,2017-09-20,23:05:00
Citizens Bank Park,2017-09-21,17:05:00
Citizens Bank Park,2017-09-25,23:05:00
Citizens Bank Park,2017-09-26,23:05:00
Citizens Bank Park,2017-09-27,23:05:00
Citizens Bank Park,2017-09-29,23:05:00
Citizens Bank Park,2017-09-30,23:05:00
Citizens Bank Park,2017-10-01,19:05:00
Citizens Bank Park,2018-04-05,19:05:00
Citizens Bank Park,2018-04-07,22:05:00
Citizens Bank Park,2018-04-08,17:35:00
Citizens Bank Park,2018-04-09,23:05:00
Citizens Bank Park,2018-04-10,23:05:00
Citizens Bank Park,2018-04-11,23:05:00
Citizens Bank Park,2018-04-19,23:05:00
Citizens Bank Park,2018-04-20,23:05:00
Citizens Bank Park,2018-04-21,20:05:00
Citizens Bank Park,2018-04-22,17:35:00
Citizens Bank Park,2018-04-24,23:05:00
Citizens Bank Park,2018-04-25,23:05:00
Citizens Bank Park,2018-04-26,17:05:00
Citizens Bank Park,2018-04-27,23:05:00
Citizens Bank Park,2018-04-28,22:05:00
Citizens Bank Park,2018-04-29,17:35:00
Citizens Bank Park,2018-05-07,23:05:00
Citizens Bank Park,2018-05-08,23:05:00
Citizens Bank Park,2018-05-09,23:05:00
Citizens Bank Park,2018-05-10,17:05:00
Citizens Bank Park,2018-05-11,23:05:00
Citizens Bank Park,2018-05-12,23:05:00
Citizens Bank Park,2018-05-13,17:35:00
Citizens Bank Park,2018-05-21,23:05:00
Citizens Bank Park,2018-05-22,23:05:00
Citizens Bank Park,2018-05-23,23:05:00
Citizens Bank Park,2018-05-25,23:05:00
Citizens Bank Park,2018-05-26,20:05:00
Citizens Bank Park,2018-05-27,17:35:00
Citizens Bank Park,2018-06-08,23:05:00
Citizens Bank Park,2018-06-09,17:05:00
Citizens Bank Park,2018-06-10,17:35:00
Citizens Bank Park,2018-06-12,23:05:00
Citizens Bank Park,2018-06-13,23:05:00
Citizens Bank Park,2018-06-14,17:05:00
Citizens Bank Park,2018-06-18,23:05:00
Citizens Bank Park,2018-06-19,23:05:00
Citizens Bank Park,2018-06-20,17:05:00
Citizens Bank Park,2018-06-25,23:05:00
Citizens Bank Park,2018-06-26,23:05:00
Citizens Bank Park,2018-06-27,23:05:00
Citizens Bank Park,2018-06-28,23:05:00
Citizens Bank Park,2018-06-29,23:05:00
Citizens Bank Park,2018-06-30,22:05:00
Citizens Bank Park,2018-07-01,17:35:00
Citizens Bank Park,2018-07-03,23:05:00
Citizens Bank Park,2018-07-04,20:05:00
Citizens Bank Park,2018-07-20,23:05:00
Citizens Bank Park,2018-07-21,23:05:00
Citizens Bank Park,2018-07-22,16:05:00
Citizens Bank Park,2018-07-22,22:05:00
Citizens Bank Park,2018-07-23,23:05:00
Citizens Bank Park,2018-07-24,23:05:00
Citizens Bank Park,2018-07-25,16:35:00
Citizens Bank Park,2018-08-02,23:05:00
Citizens Bank Park,2018-08-03,23:05:00
Citizens Bank Park,2018-08-04,23:05:00
Citizens Bank Park,2018-08-05,17:35:00
Citizens Bank Park,2018-08-14,23:05:00
Citizens Bank Park,2018-08-15,23:05:00
Citizens Bank Park,2018-08-16,20:05:00
Citizens Bank Park,2018-08-16,20:10:00
Citizens Bank Park,2018-08-17,22:05:00
Citizens Bank Park,2018-08-18,20:05:00
Citizens Bank Park,2018-08-27,23:05:00
Citizens Bank Park,2018-08-28,23:05:00
Citizens Bank Park,2018-08-29,23:05:00
Citizens Bank Park,2018-08-31,23:05:00
Citizens Bank Park,2018-09-01,23:05:00
Citizens Bank Park,2018-09-02,17:35:00
Citizens Bank Park,2018-09-10,23:05:00
Citizens Bank Park,2018-09-11,19:05:00
Citizens Bank Park,2018-09-11,19:10:00
Citizens Bank Park,2018-09-12,23:05:00
Citizens Bank Park,2018-09-14,23:05:00
Citizens Bank Park,2018-09-15,23:05:00
Citizens Bank Park,2018-09-16,17:35:00
Citizens Bank Park,2018-09-17,23:05:00
Citizens Bank Park,2018-09-18,23:05:00
Citizens Bank Park,2018-09-19,22:05:00
Citizens Bank Park,2018-09-28,23:05:00
Citizens Bank Park,2018-09-29,23:05:00
Citizens Bank Park,2018-09-30,19:05:00
Citizens Bank Park,2019-03-28,19:05:00
Citizens Bank Park,2019-03-30,20:05:00
Citizens Bank Park,2019-03-31,23:05:00
Citizens Bank Park,2019-04-05,23:05:00
Citizens Bank Park,2019-04-06,18:05:00
