venue_name,date,time
PNC Park,2017-04-07,17:05:00
PNC Park,2017-04-08,23:05:00
PNC Park,2017-04-09,17:35:00
PNC Park,2017-04-10,23:05:00
PNC Park,2017-04-11,23:05:00
PNC Park,2017-04-12,23:05:00
PNC Park,2017-04-21,23:05:00
PNC Park,2017-04-22,20:05:00
PNC Park,2017-04-23,17:35:00
PNC Park,2017-04-24,23:05:00
PNC Park,2017-04-25,23:05:00
PNC Park,2017-04-26,23:05:00
PNC Park,2017-05-05,23:05:00
PNC Park,2017-05-06,23:05:00
PNC Park,2017-05-07,17:35:00
PNC Park,2017-05-16,23:05:00
PNC Park,2017-05-17,23:05:00
PNC Park,2017-05-18,16:35:00
PNC Park,2017-05-19,23:05:00
PNC Park,2017-05-20,20:05:00
PNC Park,2017-05-21,17:35:00
PNC Park,2017-05-26,23:05:00
PNC Park,2017-05-27,23:15:00
PNC Park,2017-05-29,00:00:00
PNC Park,2017-05-29,20:05:00
PNC Park,2017-05-30,23:05:00
PNC Park,2017-05-31,16:35:00
PNC Park,2017-06-08,23:05:00
PNC Park,2017-06-09,23:05:00
PNC Park,2017-06-10,20:05:00
PNC Park,2017-06-11,17:35:00
PNC Park,2017-06-12,23:05:00
PNC Park,2017-06-13,23:05:00
PNC Park,2017-06-14,23:05:00
PNC Park,2017-06-16,23:05:00
PNC Park,2017-06-18,00:15:00
PNC Park,2017-06-18,17:35:00
PNC Park,2017-06-27,23:05:00
PNC Park,2017-06-28,23:05:00
PNC Park,2017-06-29,23:05:00
PNC Park,2017-06-30,23:05:00
PNC Park,2017-07-01,20:05:00
PNC Park,2017-07-02,17:35:00
PNC Park,2017-07-14,23:05:00
PNC Park,2017-07-15,23:05:00
PNC Park,2017-07-16,17:35:00
PNC Park,2017-07-17,23:05:00
PNC Park,2017-07-18,23:05:00
PNC Park,2017-07-19,23:05:00
PNC Park,2017-07-20,16:35:00
PNC Park,2017-08-01,23:05:00
PNC Park,2017-08-02,23:05:00
PNC Park,2017-08-03,23:05:00
PNC Park,2017-08-04,23:05:00
PNC Park,2017-08-05,23:05:00
