venue_name,date,time
Petco Park,2017-04-07,22:40:00
Petco Park,2017-04-09,00:40:00
Petco Park,2017-04-09,20:40:00
Petco Park,2017-04-19,02:10:00
Petco Park,2017-04-20,02:10:00
Petco Park,2017-04-21,01:10:00
Petco Park,2017-04-22,02:10:00
Petco Park,2017-04-23,00:40:00
Petco Park,2017-04-23,20:40:00
Petco Park,2017-05-03,02:10:00
Petco Park,2017-05-04,02:10:00
Petco Park,2017-05-04,19:40:00
Petco Park,2017-05-06,02:10:00
Petco Park,2017-05-07,00:40:00
Petco Park,2017-05-07,20:40:00
Petco Park,2017-05-09,02:10:00
Petco Park,2017-05-09,19:40:00
Petco Park,2017-05-16,02:10:00
Petco Park,2017-05-17,02:10:00
Petco Park,2017-05-18,02:10:00
Petco Park,2017-05-18,19:40:00
Petco Park,2017-05-20,02:10:00
Petco Park,2017-05-21,02:10:00
Petco Park,2017-05-21,20:40:00
Petco Park,2017-05-29,20:40:00
Petco Park,2017-05-31,02:10:00
Petco Park,2017-05-31,19:40:00
Petco Park,2017-06-03,02:10:00
Petco Park,2017-06-03,20:10:00
Petco Park,2017-06-04,20:40:00
Petco Park,2017-06-10,02:10:00
Petco Park,2017-06-10,20:10:00
Petco Park,2017-06-11,20:40:00
Petco Park,2017-06-13,02:10:00
Petco Park,2017-06-14,02:10:00
Petco Park,2017-06-14,19:40:00
Petco Park,2017-06-24,02:10:00
Petco Park,2017-06-25,02:10:00
Petco Park,2017-06-25,20:40:00
Petco Park,2017-06-28,02:10:00
Petco Park,2017-06-29,02:10:00
Petco Park,2017-06-30,01:10:00
Petco Park,2017-07-01,02:10:00
Petco Park,2017-07-02,02:10:00
Petco Park,2017-07-02,20:40:00
Petco Park,2017-07-15,02:10:00
Petco Park,2017-07-16,00:40:00
Petco Park,2017-07-16,20:40:00
Petco Park,2017-07-25,02:10:00
Petco Park,2017-07-26,02:10:00
Petco Park,2017-07-27,02:10:00
Petco Park,2017-07-28,01:10:00
Petco Park,2017-07-29,02:10:00
Petco Park,2017-07-30,00:40:00
Petco Park,2017-07-30,20:40:00
Petco Park,2017-08-02,02:10:00
Petco Park,2017-08-02,19:40:00
Petco Park,2017-08-15,02:10:00
Petco Park,2017-08-16,02:10:00
Petco Park,2017-08-16,19:40:00
Petco Park,2017-08-18,02:10:00
Petco Park,2017-08-19,02:10:00
Petco Park,2017-08-20,00:40:00
Petco Park,2017-08-20,20:40:00
Petco Park,2017-08-29,02:10:00
Petco Park,2017-08-30,02:10:00
Petco Park,2017-08-31,01:10:00
Petco Park,2017-09-02,02:10:00
Petco Park,2017-09-02,19:40:00
Petco Park,2017-09-03,02:10:00
Petco Park,2017-09-03,20:40:00
Petco Park,2017-09-04,20:40:00
Petco Park,2017-09-06,02:10:00
Petco Park,2017-09-07,02:10:00
Petco Park,2017-09-08,01:10:00
Petco Park,2017-09-19,02:10:00
Petco Park,2017-09-20,02:10:00
Petco Park,2017-09-21,01:10:00
Petco Park,2017-09-22,02:10:00
Petco Park,2017-09-23,02:10:00
Petco Park,2017-09-24,00:40:00
Petco Park,2017-09-24,20:40:00
Petco Park,2018-03-29,20:10:00
Petco Park,2018-03-31,02:10:00
Petco Park,2018-04-01,00:40:00
Petco Park,2018-04-03,02:10:00
Petco Park,2018-04-04,02:10:00
Petco Park,2018-04-05,02:10:00
Petco Park,2018-04-05,19:40:00
Petco Park,2018-04-13,02:10:00
Petco Park,2018-04-14,02:10:00
Petco Park,2018-04-15,00:40:00
Petco Park,2018-04-15,20:10:00
Petco Park,2018-04-17,02:10:00
Petco Park,2018-04-18,02:10:00
Petco Park,2018-04-19,02:10:00
Petco Park,2018-04-28,02:10:00
Petco Park,2018-04-29,00:40:00
Petco Park,2018-04-29,20:10:00
Petco Park,2018-05-08,02:10:00
Petco Park,2018-05-09,02:10:00
Petco Park,2018-05-10,01:10:00
Petco Park,2018-05-11,02:10:00
Petco Park,2018-05-12,02:10:00
Petco Park,2018-05-13,00:40:00
Petco Park,2018-05-13,20:10:00
Petco Park,2018-05-15,02:10:00
Petco Park,2018-05-15,19:40:00
Petco Park,2018-05-28,20:10:00
Petco Park,2018-05-30,02:10:00
Petco Park,2018-05-31,02:10:00
Petco Park,2018-06-01,01:10:00
Petco Park,2018-06-02,02:10:00
Petco Park,2018-06-03,00:40:00
Petco Park,2018-06-03,22:10:00
Petco Park,2018-06-05,02:10:00
Petco Park,2018-06-06,02:10:00
Petco Park,2018-06-06,19:40:00
Petco Park,2018-06-20,02:10:00
Petco Park,2018-06-20,19:40:00
Petco Park,2018-06-30,02:10:00
Petco Park,2018-07-01,02:10:00
Petco Park,2018-07-01,20:10:00
Petco Park,2018-07-10,02:10:00
Petco Park,2018-07-11,02:10:00
Petco Park,2018-07-12,02:10:00
Petco Park,2018-07-13,02:10:00
Petco Park,2018-07-14,02:10:00
Petco Park,2018-07-15,02:10:00
Petco Park,2018-07-15,20:10:00
Petco Park,2018-07-28,02:10:00
Petco Park,2018-07-29,00:40:00
Petco Park,2018-07-29,20:10:00
Petco Park,2018-07-31,02:10:00
Petco Park,2018-07-31,20:10:00
Petco Park,2018-08-11,02:10:00
Petco Park,2018-08-12,00:40:00
Petco Park,2018-08-12,19:40:00
Petco Park,2018-08-14,02:10:00
Petco Park,2018-08-15,02:10:00
Petco Park,2018-08-16,01:10:00
Petco Park,2018-08-17,02:10:00
Petco Park,2018-08-18,02:10:00
Petco Park,2018-08-19,00:40:00
Petco Park,2018-08-19,20:10:00
Petco Park,2018-08-29,02:10:00
Petco Park,2018-08-29,19:40:00
Petco Park,2018-08-31,02:10:00
Petco Park,2018-09-01,02:10:00
Petco Park,2018-09-02,00:40:00
Petco Park,2018-09-02,20:10:00
Petco Park,2018-09-15,02:10:00
Petco Park,2018-09-16,00:40:00
Petco Park,2018-09-16,20:10:00
Petco Park,2018-09-18,02:10:00
Petco Park,2018-09-19,02:10:00
Petco Park,2018-09-20,01:10:00
Petco Park,2018-09-29,02:10:00
Petco Park,2018-09-30,00:40:00
Petco Park,2018-09-30,19:10:00
Petco Park,2019-03-28,20:10:00
Petco Park,2019-03-30,02:10:00
Petco Park,2019-03-31,00:40:00
Petco Park,2019-03-31,20:10:00
Petco Park,2019-04-02,02:10:00
Petco Park,2019-04-03,02:10:00
Petco Park,2019-04-03,19:40:00
Petco Park,2019-04-16,02:10:00
