venue_name,date,time
Nationals Park,2017-04-03,17:05:00
Nationals Park,2017-04-05,23:05:00
Nationals Park,2017-04-06,20:05:00
Nationals Park,2017-04-10,23:05:00
Nationals Park,2017-04-11,23:05:00
Nationals Park,2017-04-12,20:05:00
Nationals Park,2017-04-14,20:05:00
Nationals Park,2017-04-15,17:05:00
Nationals Park,2017-04-16,17:35:00
Nationals Park,2017-04-28,23:05:00
Nationals Park,2017-04-29,17:05:00
Nationals Park,2017-04-30,17:35:00
Nationals Park,2017-05-02,23:05:00
Nationals Park,2017-05-03,23:05:00
Nationals Park,2017-05-04,17:05:00
Nationals Park,2017-05-10,23:05:00
Nationals Park,2017-05-11,23:05:00
Nationals Park,2017-05-12,23:05:00
Nationals Park,2017-05-13,23:05:00
Nationals Park,2017-05-14,17:35:00
Nationals Park,2017-05-14,23:05:00
Nationals Park,2017-05-23,23:05:00
Nationals Park,2017-05-24,23:05:00
Nationals Park,2017-05-25,16:05:00
Nationals Park,2017-05-26,23:05:00
Nationals Park,2017-05-27,20:05:00
Nationals Park,2017-05-28,17:35:00
Nationals Park,2017-06-08,23:05:00
Nationals Park,2017-06-09,23:05:00
Nationals Park,2017-06-10,16:05:00
Nationals Park,2017-06-11,20:05:00
Nationals Park,2017-06-12,23:05:00
Nationals Park,2017-06-13,23:05:00
Nationals Park,2017-06-14,20:05:00
Nationals Park,2017-06-23,23:05:00
Nationals Park,2017-06-24,20:05:00
Nationals Park,2017-06-25,17:35:00
Nationals Park,2017-06-26,23:05:00
Nationals Park,2017-06-27,23:05:00
Nationals Park,2017-06-28,23:05:00
Nationals Park,2017-06-29,20:05:00
Nationals Park,2017-07-03,22:05:00
Nationals Park,2017-07-04,15:05:00
Nationals Park,2017-07-05,23:05:00
Nationals Park,2017-07-06,23:05:00
Nationals Park,2017-07-07,23:05:00
Nationals Park,2017-07-08,20:05:00
Nationals Park,2017-07-09,17:35:00
Nationals Park,2017-07-25,23:05:00
Nationals Park,2017-07-26,23:05:00
Nationals Park,2017-07-27,16:05:00
Nationals Park,2017-07-28,23:05:00
Nationals Park,2017-07-29,23:05:00
Nationals Park,2017-07-30,17:35:00
Nationals Park,2017-07-30,23:40:00
Nationals Park,2017-08-07,23:05:00
Nationals Park,2017-08-08,23:05:00
Nationals Park,2017-08-09,23:05:00
Nationals Park,2017-08-10,23:05:00
Nationals Park,2017-08-11,23:05:00
Nationals Park,2017-08-12,23:05:00
Nationals Park,2017-08-13,17:05:00
Nationals Park,2017-08-13,23:05:00
Nationals Park,2017-08-15,23:05:00
Nationals Park,2017-08-16,17:05:00
Nationals Park,2017-08-25,23:05:00
Nationals Park,2017-08-26,20:05:00
Nationals Park,2017-08-27,17:35:00
Nationals Park,2017-08-28,00:08:00
Nationals Park,2017-08-28,23:05:00
Nationals Park,2017-08-29,23:05:00
Nationals Park,2017-08-30,20:05:00
Nationals Park,2017-09-07,23:05:00
Nationals Park,2017-09-08,23:05:00
Nationals Park,2017-09-09,23:05:00
Nationals Park,2017-09-10,17:35:00
Nationals Park,2017-09-12,23:05:00
Nationals Park,2017-09-13,23:05:00
Nationals Park,2017-09-14,23:05:00
Nationals Park,2017-09-15,23:05:00
Nationals Park,2017-09-16,17:05:00
Nationals Park,2017-09-18,00:08:00
Nationals Park,2017-09-28,23:05:00
Nationals Park,2017-09-29,23:05:00
Nationals Park,2017-09-30,23:05:00
Nationals Park,2017-10-01,19:05:00
Nationals Park,2017-10-06,23:30:00
Nationals Park,2017-10-07,21:30:00
Nationals Park,2017-10-13,00:00:00
Nationals Park,2018-04-05,17:05:00
Nationals Park,2018-04-07,17:05:00
Nationals Park,2018-04-09,00:08:00
Nationals Park,2018-04-09,23:05:00
Nationals Park,2018-04-10,23:05:00
Nationals Park,2018-04-11,17:05:00
Nationals Park,2018-04-12,23:05:00
Nationals Park,2018-04-13,23:05:00
Nationals Park,2018-04-14,17:05:00
Nationals Park,2018-04-15,17:35:00
Nationals Park,2018-04-27,23:05:00
Nationals Park,2018-04-28,20:05:00
Nationals Park,2018-04-29,17:35:00
Nationals Park,2018-04-30,23:05:00
Nationals Park,2018-05-01,23:05:00
Nationals Park,2018-05-02,23:05:00
Nationals Park,2018-05-03,17:05:00
Nationals Park,2018-05-04,23:05:00
Nationals Park,2018-05-05,20:05:00
Nationals Park,2018-05-06,17:35:00
Nationals Park,2018-05-15,23:05:00
Nationals Park,2018-05-16,23:05:00
Nationals Park,2018-05-18,23:05:00
Nationals Park,2018-05-19,18:05:00
Nationals Park,2018-05-20,00:05:00
Nationals Park,2018-05-20,17:35:00
Nationals Park,2018-05-21,23:05:00
Nationals Park,2018-05-22,23:05:00
Nationals Park,2018-05-23,20:05:00
Nationals Park,2018-06-05,23:05:00
Nationals Park,2018-06-06,17:05:00
Nationals Park,2018-06-08,23:05:00
Nationals Park,2018-06-09,16:05:00
Nationals Park,2018-06-10,20:05:00
Nationals Park,2018-06-18,21:05:00
Nationals Park,2018-06-18,21:05:00
Nationals Park,2018-06-19,23:05:00
Nationals Park,2018-06-20,23:05:00
Nationals Park,2018-06-21,23:05:00
