venue_name,latitude,longitude
AT&T Park,37.7786119,-122.39026745425639
Angel Stadium,33.8002599,-117.88174262759796
Busch Stadium,38.6225538,-90.19392193458768
Citi Field,40.757277849999994,-73.84587884942417
Citizens Bank Park,39.905885749999996,-75.16541101747245
Comerica Park,42.33915895,-83.0496248178274
Coors Field,39.7560314,-104.99292855531493
Dodger Stadium,34.0736263,-118.23897581574036
Fenway Park,42.3464621,-71.0971002033302
Great American Ball Park,39.097248449999995,-84.50662325533993
Guaranteed Rate Field,41.8300162,-87.63256264837347
Kauffman Stadium,39.0514715,-94.48139730530374
Nationals Park,38.87274095,-77.00838588569519
Oakland Coliseum,37.7539702,-122.1972051
Oracle Park,37.7786119,-122.39026745425639
Oriole Park at Camden Yards,39.283738299999996,-76.62160555637811
PNC Park,40.4469258,-80.00560626612204
Petco Park,32.70718815,-117.15687730689476
Progressive Field,41.496090550000005,-81.68513191630367
SunTrust Park,33.89070855,-84.46853422885837
Target Field,44.98168445,-93.27786434576453
Truist Park,33.89070855,-84.46853422885837
Wrigley Field,41.94818455,-87.65555899980043
Yankee Stadium,40.82958275,-73.92652118491901
