"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-17",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-18",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-19",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-20",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-21",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-22",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-23",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-24",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-25",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-26",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-27",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-28",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-29",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-06-30",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-01",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-02",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-03",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-04",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-05",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-06",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-07",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-08",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-09",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-10",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-11",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-13",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-14",,,,
"US1GACB0068","SMYRNA 0.2 ESE, GA US","2022-07-15",,,,
