"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-03-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-03-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-03-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-03-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-04-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-05-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-06-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-07-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-07-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-07-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-07-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-07-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-08-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2018-09-22",,,,,
