"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-13",,,,
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-14",,,,
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-15",,,,
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-16",,,,
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-17",,,,
"US1OHCY0027","MAPLE HEIGHTS 0.9 NW, OH US","2017-06-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-24",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-25",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-26",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-06-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-25",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-26",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-07-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-08-31",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-10",,,,
