"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-11-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2018-12-20",,,,,
