"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-12",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-13",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-14",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-15",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-16",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-17",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-18",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-19",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-20",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-21",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-22",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-23",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-24",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-25",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-26",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-27",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-28",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-29",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-30",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-08-31",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-01",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-02",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-03",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-04",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-05",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-06",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-07",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-08",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-09",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-10",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-11",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-12",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-13",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-14",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-15",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-16",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-17",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-18",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-19",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-20",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-21",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-22",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-23",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-24",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-25",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-26",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-27",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-28",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-29",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-09-30",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-01",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-02",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-03",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-04",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-05",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-06",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-07",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-08",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-09",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-10",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-11",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-12",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-13",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-14",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-15",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-16",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-17",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-18",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-19",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-20",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-21",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-22",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-23",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-24",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-25",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-26",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-27",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-28",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-29",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-30",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-10-31",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-01",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-02",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-03",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-04",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-05",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-06",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-07",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-08",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-09",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-10",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-11",,,,,
"US1PABV0026","BADEN 2.6 E, PA US","2022-11-12",,,,,
