"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-17",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-18",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-19",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-20",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-21",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-22",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-23",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-24",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-25",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-26",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-27",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-28",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-29",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-30",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-05-31",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-01",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-02",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-03",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-04",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-05",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-06",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-07",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-08",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-09",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-10",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-11",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-12",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-13",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-14",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-15",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-16",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-17",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-18",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-20",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-21",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-22",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-23",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-24",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-25",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-26",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-27",,,,,
"US1MOSL0081","CLAYTON 1.2 NW, MO US","2020-06-28",,,,,
